d26Mg,Section,Country,Period,Stage,Substage,Depthm,d26Mg,Reference,"Hu et al., 2021","Chen et al., 2020","Shalev et al., 2019"
-2.16,GK-1 core,Austria,Permian,,,256.8,-2.16,"Hu et al., 2021",-2.16,0,0
-2.14,GK-1 core,Austria,Permian,,,258.85,-2.14,"Hu et al., 2021",-2.14,0,0
-2.02,GK-1 core,Austria,Permian,,,264.55,-2.02,"Hu et al., 2021",-2.02,0,0
-2.17,GK-1 core,Austria,Permian,,,267.3,-2.17,"Hu et al., 2021",-2.17,0,0
-2.13,GK-1 core,Austria,Permian,,,272.92,-2.13,"Hu et al., 2021",-2.13,0,0
-2.26,GK-1 core,Austria,Permian,,,278.1,-2.26,"Hu et al., 2021",-2.26,0,0
-2.15,GK-1 core,Austria,Permian,,,281.6,-2.15,"Hu et al., 2021",-2.15,0,0
-2.11,GK-1 core,Austria,Permian,,,285.82,-2.11,"Hu et al., 2021",-2.11,0,0
-2.18,GK-1 core,Austria,Permian,,,290.9,-2.18,"Hu et al., 2021",-2.18,0,0
-2.19,GK-1 core,Austria,Permian,,,293.6,-2.19,"Hu et al., 2021",-2.19,0,0
-2.15,GK-1 core,Austria,Permian,,,299,-2.15,"Hu et al., 2021",-2.15,0,0
-2.2,GK-1 core,Austria,Permian,,,300.51,-2.2,"Hu et al., 2021",-2.2,0,0
-2.05,GK-1 core,Austria,Permian,,,302.1,-2.05,"Hu et al., 2021",-2.05,0,0
-2.08,GK-1 core,Austria,Permian,,,311.32,-2.08,"Hu et al., 2021",-2.08,0,0
-2.17,GK-1 core,Austria,Permian,,,312,-2.17,"Hu et al., 2021",-2.17,0,0
-2.09,GK-1 core,Austria,Permian,,,315.86,-2.09,"Hu et al., 2021",-2.09,0,0
-2.09,GK-1 core,Austria,Permian,,,318.3,-2.09,"Hu et al., 2021",-2.09,0,0
-2.18,GK-1 core,Austria,Permian,,,321.67,-2.18,"Hu et al., 2021",-2.18,0,0
-1.65,Yanggudong section,China,Permian,,,151.4,-1.65,"Hu et al., 2021",-1.65,0,0
-1.59,Yanggudong section,China,Permian,,,150.9,-1.59,"Hu et al., 2021",-1.59,0,0
-1.54,Yanggudong section,China,Permian,,,150.3,-1.54,"Hu et al., 2021",-1.54,0,0
-1.57,Yanggudong section,China,Permian,,,149.8,-1.57,"Hu et al., 2021",-1.57,0,0
-1.54,Yanggudong section,China,Permian,,,149.2,-1.54,"Hu et al., 2021",-1.54,0,0
-1.55,Yanggudong section,China,Triassic,,,148.7,-1.55,"Hu et al., 2021",-1.55,0,0
-1.51,Yanggudong section,China,Triassic,,,148.1,-1.51,"Hu et al., 2021",-1.51,0,0
-1.48,Yanggudong section,China,Triassic,,,147.6,-1.48,"Hu et al., 2021",-1.48,0,0
-1.62,Yanggudong section,China,Triassic,,,147,-1.62,"Hu et al., 2021",-1.62,0,0
-1.57,Yanggudong section,China,Triassic,,,145.8,-1.57,"Hu et al., 2021",-1.57,0,0
-1.58,Yanggudong section,China,Triassic,,,144.7,-1.58,"Hu et al., 2021",-1.58,0,0
-1.64,Yanggudong section,China,Triassic,,,143.5,-1.64,"Hu et al., 2021",-1.64,0,0
-1.6,Yanggudong section,China,Triassic,,,142.3,-1.6,"Hu et al., 2021",-1.6,0,0
-1.61,Yanggudong section,China,Triassic,,,141.2,-1.61,"Hu et al., 2021",-1.61,0,0
-1.61,Yanggudong section,China,Triassic,,,140,-1.61,"Hu et al., 2021",-1.61,0,0
-1.58,Yanggudong section,China,Triassic,,,138.9,-1.58,"Hu et al., 2021",-1.58,0,0
-1.54,Yanggudong section,China,Triassic,,,137.8,-1.54,"Hu et al., 2021",-1.54,0,0
-1.6,Yanggudong section,China,Triassic,,,136.7,-1.6,"Hu et al., 2021",-1.6,0,0
-1.62,Yanggudong section,China,Triassic,,,135.6,-1.62,"Hu et al., 2021",-1.62,0,0
-1.65,Yanggudong section,China,Triassic,,,134.5,-1.65,"Hu et al., 2021",-1.65,0,0
-1.67,Yanggudong section,China,Triassic,,,133.4,-1.67,"Hu et al., 2021",-1.67,0,0
-1.72,Yanggudong section,China,Triassic,,,132.3,-1.72,"Hu et al., 2021",-1.72,0,0
-1.75,Yanggudong section,China,Triassic,,,131.2,-1.75,"Hu et al., 2021",-1.75,0,0
-1.68,Yanggudong section,China,Triassic,,,130.1,-1.68,"Hu et al., 2021",-1.68,0,0
-1.7,Yanggudong section,China,Triassic,,,129,-1.7,"Hu et al., 2021",-1.7,0,0
-1.63,Yanggudong section,China,Triassic,,,125.7,-1.63,"Hu et al., 2021",-1.63,0,0
-1.65,Yanggudong section,China,Triassic,,,122.3,-1.65,"Hu et al., 2021",-1.65,0,0
-1.67,Yanggudong section,China,Triassic,,,119,-1.67,"Hu et al., 2021",-1.67,0,0
-1.68,Yanggudong section,China,Triassic,,,115.7,-1.68,"Hu et al., 2021",-1.68,0,0
-1.71,Yanggudong section,China,Triassic,,,112.3,-1.71,"Hu et al., 2021",-1.71,0,0
-1.7,Yanggudong section,China,Triassic,,,109,-1.7,"Hu et al., 2021",-1.7,0,0
-1.78,Yanggudong section,China,Triassic,,,105.7,-1.78,"Hu et al., 2021",-1.78,0,0
-1.76,Yanggudong section,China,Triassic,,,102.3,-1.76,"Hu et al., 2021",-1.76,0,0
-1.76,Yanggudong section,China,Triassic,,,99,-1.76,"Hu et al., 2021",-1.76,0,0
-1.78,Yanggudong section,China,Triassic,,,97,-1.78,"Hu et al., 2021",-1.78,0,0
-1.74,Yanggudong section,China,Triassic,,,95.7,-1.74,"Hu et al., 2021",-1.74,0,0
-1.85,Yanggudong section,China,Triassic,,,95,-1.85,"Hu et al., 2021",-1.85,0,0
-1.65,Yanggudong section,China,Triassic,,,81,-1.65,"Hu et al., 2021",-1.65,0,0
-2.33,Dajiang section,China,Permian,,,15.1,-2.33,"Hu et al., 2021",-2.33,0,0
-2.3,Dajiang section,China,Permian,,,20.5,-2.3,"Hu et al., 2021",-2.3,0,0
-2.14,Dajiang section,China,Permian,,,21.15,-2.14,"Hu et al., 2021",-2.14,0,0
-2.23,Dajiang section,China,Permian,,,22.05,-2.23,"Hu et al., 2021",-2.23,0,0
-2.03,Dajiang section,China,Permian,,,23.2,-2.03,"Hu et al., 2021",-2.03,0,0
-2.02,Dajiang section,China,Permian,,,23.9,-2.02,"Hu et al., 2021",-2.02,0,0
-2.03,Dajiang section,China,Permian,,,24.2,-2.03,"Hu et al., 2021",-2.03,0,0
-2.04,Dajiang section,China,Permian,,,24.9,-2.04,"Hu et al., 2021",-2.04,0,0
-2.14,Dajiang section,China,Permian,,,26.3,-2.14,"Hu et al., 2021",-2.14,0,0
-2.02,Dajiang section,China,Permian,,,27.15,-2.02,"Hu et al., 2021",-2.02,0,0
-2.51,Dajiang section,China,Permian,,,27.65,-2.51,"Hu et al., 2021",-2.51,0,0
-2.08,Dajiang section,China,Permian,,,33.4,-2.08,"Hu et al., 2021",-2.08,0,0
0.73,Zal section,Iran,Triassic,Anisian,,734,0.73,"Chen et al., 2020",0,0.73,0
0.04,Zal section,Iran,Triassic,Olenekian,Spathian,718.5,0.04,"Chen et al., 2020",0,0.04,0
0.98,Zal section,Iran,Triassic,,Spathian,690.5,0.98,"Chen et al., 2020",0,0.98,0
0.8,Zal section,Iran,Triassic,,Spathian,666.9,0.8,"Chen et al., 2020",0,0.8,0
1.1,Zal section,Iran,Triassic,,Spathian,645.2,1.1,"Chen et al., 2020",0,1.1,0
1.06,Zal section,Iran,Triassic,,Spathian,637,1.06,"Chen et al., 2020",0,1.06,0
0.72,Zal section,Iran,Triassic,,Smithian,600,0.72,"Chen et al., 2020",0,0.72,0
0.79,Zal section,Iran,Triassic,,Smithian,565.7,0.79,"Chen et al., 2020",0,0.79,0
0.81,Zal section,Iran,Triassic,,Smithian,548.8,0.81,"Chen et al., 2020",0,0.81,0
0.11,Zal section,Iran,Triassic,,Smithian,540.6,0.11,"Chen et al., 2020",0,0.11,0
0.65,Zal section,Iran,Triassic,Induan,Dienerian,504.3,0.65,"Chen et al., 2020",0,0.65,0
0.61,Zal section,Iran,Triassic,,Dienerian,467.5,0.61,"Chen et al., 2020",0,0.61,0
0.84,Zal section,Iran,Triassic,,Dienerian,447.5,0.84,"Chen et al., 2020",0,0.84,0
0.72,Zal section,Iran,Triassic,,Dienerian,406.5,0.72,"Chen et al., 2020",0,0.72,0
0.82,Zal section,Iran,Triassic,,Dienerian,379.8,0.82,"Chen et al., 2020",0,0.82,0
0.25,Zal section,Iran,Triassic,,Dienerian,374.5,0.25,"Chen et al., 2020",0,0.25,0
-0.69,Zal section,Iran,Triassic,,Dienerian,346,-0.69,"Chen et al., 2020",0,-0.69,0
-1.36,Zal section,Iran,Triassic,,Dienerian,343,-1.36,"Chen et al., 2020",0,-1.36,0
-0.95,Zal section,Iran,Triassic,,Dienerian,335.5,-0.95,"Chen et al., 2020",0,-0.95,0
-1.44,Zal section,Iran,Triassic,,Dienerian,314.4,-1.44,"Chen et al., 2020",0,-1.44,0
-1.04,Zal section,Iran,Triassic,,Dienerian,242.6,-1.04,"Chen et al., 2020",0,-1.04,0
-0.58,Zal section,Iran,Triassic,,Dienerian,207.5,-0.58,"Chen et al., 2020",0,-0.58,0
0.48,Zal section,Iran,Triassic,,Dienerian,140,0.48,"Chen et al., 2020",0,0.48,0
-0.21,Zal section,Iran,Triassic,,Dienerian,125,-0.21,"Chen et al., 2020",0,-0.21,0
-2.09,Zal section,Iran,Triassic,,Griesbachian,45,-2.09,"Chen et al., 2020",0,-2.09,0
-0.01,Zal section,Iran,Triassic,,Griesbachian,15,-0.01,"Chen et al., 2020",0,-0.01,0
0.22,Zal section,Iran,Permian,Changhsingian,,-15,0.22,"Chen et al., 2020",0,0.22,0
-0.39,Zuodeng section,China,Triassic,Olenekian,Spathian,85.1,-0.39,"Chen et al., 2020",0,-0.39,0
-0.49,Zuodeng section,China,Triassic,,Spathian,83.7,-0.49,"Chen et al., 2020",0,-0.49,0
-0.76,Zuodeng section,China,Triassic,,Spathian,80.4,-0.76,"Chen et al., 2020",0,-0.76,0
-0.42,Zuodeng section,China,Triassic,,Spathian,64.2,-0.42,"Chen et al., 2020",0,-0.42,0
-0.5,Zuodeng section,China,Triassic,,Spathian,60.5,-0.5,"Chen et al., 2020",0,-0.5,0
-0.62,Zuodeng section,China,Triassic,,Spathian,52,-0.62,"Chen et al., 2020",0,-0.62,0
-0.53,Zuodeng section,China,Triassic,,Spathian,49.6,-0.53,"Chen et al., 2020",0,-0.53,0
-0.1,Zuodeng section,China,Triassic,,Spathian,46.4,-0.1,"Chen et al., 2020",0,-0.1,0
-0.65,Zuodeng section,China,Triassic,,Smithian,43.2,-0.65,"Chen et al., 2020",0,-0.65,0
-0.46,Zuodeng section,China,Triassic,,Smithian,42.2,-0.46,"Chen et al., 2020",0,-0.46,0
-0.22,Zuodeng section,China,Triassic,,Smithian,40.1,-0.22,"Chen et al., 2020",0,-0.22,0
-0.37,Zuodeng section,China,Triassic,,Smithian,37.5,-0.37,"Chen et al., 2020",0,-0.37,0
-0.74,Zuodeng section,China,Triassic,,Smithian,36.6,-0.74,"Chen et al., 2020",0,-0.74,0
-0.36,Zuodeng section,China,Triassic,,Smithian,33.8,-0.36,"Chen et al., 2020",0,-0.36,0
-2.3,Zuodeng section,China,Triassic,Induan,Dienerian,22.6,-2.3,"Chen et al., 2020",0,-2.3,0
-0.03,Zuodeng section,China,Triassic,,Dienerian,12.9,-0.03,"Chen et al., 2020",0,-0.03,0
0.33,Zuodeng section,China,Triassic,,Dienerian,12.8,0.33,"Chen et al., 2020",0,0.33,0
-1.15,Zuodeng section,China,Triassic,,Dienerian,12.1,-1.15,"Chen et al., 2020",0,-1.15,0
-0.95,Zuodeng section,China,Triassic,,Dienerian,10.7,-0.95,"Chen et al., 2020",0,-0.95,0
-1.47,Zuodeng section,China,Triassic,,Griesbachian,4.4,-1.47,"Chen et al., 2020",0,-1.47,0
-1.54,Zuodeng section,China,Permian,Changhsingian,,-9.4,-1.54,"Chen et al., 2020",0,-1.54,0
-0.83,,,Modern,,,,-0.83,"Shalev et al., 2019",0,0,-0.83
