Section/location,Country,Sample name,Conodont zone,Formation,Period,Stage,Age (Ma),Li,References
Yinkeng Fm,China,,34-10,,Triassic,,252.1,17.1,Sun et al. (2018)
Yinkeng Fm,China,,34-9,,Triassic,,252.1,17,Sun et al. (2018)
Yinkeng Fm,China,,34-8,,Triassic,,252.1,17.4,Sun et al. (2018)
Yinkeng Fm,China,,34-6,,Triassic,,252.1,16.7,Sun et al. (2018)
Yinkeng Fm,China,,34-5,,Triassic,,252.1,17.1,Sun et al. (2018)
Yinkeng Fm,China,,34-4,,Triassic,,252.1,17.5,Sun et al. (2018)
Yinkeng Fm,China,,34-3,,Triassic,,252.1,17.4,Sun et al. (2018)
Yinkeng Fm,China,,34-2,,Triassic,,252.1,16.9,Sun et al. (2018)
Yinkeng Fm,China,,34-1,,Triassic,,252.1,16.4,Sun et al. (2018)
Yinkeng Fm,China,,33,,Triassic,,252.1,15.7,Sun et al. (2018)
Yinkeng Fm,China,,32-4,,Triassic,,252.1,17,Sun et al. (2018)
Yinkeng Fm,China,,32-3,,Triassic,,252.1,17.2,Sun et al. (2018)
Yinkeng Fm,China,,32-2,,Triassic,,252.1,17.6,Sun et al. (2018)
Yinkeng Fm,China,,32-1,,Triassic,,252.1,18,Sun et al. (2018)
Yinkeng Fm,China,,31-2,,Triassic,,252.1,15.7,Sun et al. (2018)
Yinkeng Fm,China,,31-1,,Triassic,,252.1,15.8,Sun et al. (2018)
Yinkeng Fm,China,,30-4,,Triassic,,252.1,17,Sun et al. (2018)
Yinkeng Fm,China,,30-3,,Triassic,,252.1,19.5,Sun et al. (2018)
Yinkeng Fm,China,,30-2,,Triassic,,252.1,18.6,Sun et al. (2018)
Yinkeng Fm,China,,30-1,,Triassic,,252.1,18,Sun et al. (2018)
Yinkeng Fm,China,,30-1,,Triassic,,252.1,18.4,Sun et al. (2018)
Yinkeng Fm,China,,29-1,,Triassic,,252.1,19.6,Sun et al. (2018)
Yinkeng Fm,China,,27-C(D),,Triassic,,252.17,19.5,Sun et al. (2018)
Shanggang,China,,,Luolou,Triassic,Olenekian,248.77,5.5,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Olenekian,250.37,5.8,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Olenekian,250.65,3.5,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Olenekian,250.95,4.7,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Olenekian,251.2,4.2,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Induan,251.27,1.7,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Induan,251.37,5.1,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Induan,251.5,3.9,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Induan,251.66,3.4,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Induan,251.69,3.9,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Induan,251.75,4.7,Cao et al. (2022)
Shanggang,China,,,Luolou,Triassic,Induan,251.83,8,Cao et al. (2022)
Shangsi,China,,,Feixianguan,Triassic,Induan,251.41,-0.3,Cao et al. (2022)
