Section,Country,Period,Stage,Substage,Mg,Reference,
Yanggudong section,China,Triassic,,,-1.61,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.58,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.54,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.6,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.62,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.65,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.67,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.72,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.75,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.68,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.7,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.63,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.65,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.67,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.68,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.71,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.7,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.78,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.76,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.76,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.78,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.74,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.85,"Hu et al., 2021",
Yanggudong section,China,Triassic,,,-1.65,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.33,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.3,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.14,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.23,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.03,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.02,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.03,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.04,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.14,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.02,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.51,"Hu et al., 2021",
Dajiang section,China,Permian,,,-2.08,"Hu et al., 2021",
Zal section,Iran,Triassic,Anisian,,0.73,"Chen et al., 2020",
Zal section,Iran,Triassic,Olenekian,Spathian,0.04,"Chen et al., 2020",
Zal section,Iran,Triassic,,Spathian,0.98,"Chen et al., 2020",
Zal section,Iran,Triassic,,Spathian,0.8,"Chen et al., 2020",
Zal section,Iran,Triassic,,Spathian,1.1,"Chen et al., 2020",
Zal section,Iran,Triassic,,Spathian,1.06,"Chen et al., 2020",
Zal section,Iran,Triassic,,Smithian,0.72,"Chen et al., 2020",
Zal section,Iran,Triassic,,Smithian,0.79,"Chen et al., 2020",
Zal section,Iran,Triassic,,Smithian,0.81,"Chen et al., 2020",
Zal section,Iran,Triassic,,Smithian,0.11,"Chen et al., 2020",
Zal section,Iran,Triassic,Induan,Dienerian,0.65,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,0.61,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,0.84,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,0.72,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,0.82,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,0.25,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,-0.69,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,-1.36,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,-0.95,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,-1.44,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,-1.04,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,-0.58,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,0.48,"Chen et al., 2020",
Zal section,Iran,Triassic,,Dienerian,-0.21,"Chen et al., 2020",
Zal section,Iran,Triassic,,Griesbachian,-2.09,"Chen et al., 2020",
Zal section,Iran,Triassic,,Griesbachian,-0.01,"Chen et al., 2020",
Zal section,Iran,Permian,Changhsingian,,0.22,"Chen et al., 2020",
Zuodeng section,China,Triassic,Olenekian,Spathian,-0.39,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Spathian,-0.49,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Spathian,-0.76,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Spathian,-0.42,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Spathian,-0.5,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Spathian,-0.62,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Spathian,-0.53,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Spathian,-0.1,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Smithian,-0.65,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Smithian,-0.46,"Chen et al., 2020",
