Sample,Country,Location,Section,Elevation,Period,Time,Age,Ca,Reference,
PDJ-100,South China,GBG,Dajiang Fm.,87.6,Early Triassic,Triassic,Griesbachian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
PDJ-107,South China,GBG,Dajiang Fm.,93.8,Early Triassic,Triassic,Griesbachian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
PDJ-115,South China,GBG,Dajiang Fm.,100.4,Early Triassic,Triassic,Griesbachian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
PDJ-118,South China,GBG,Dajiang Fm.,103,Early Triassic,Triassic,Griesbachian,0.6,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
PDJ-127,South China,GBG,Dajiang Fm.,118.2,Early Triassic,Triassic,Dinerian,0.9,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
PDJ-132,South China,GBG,Dajiang Fm.,131,Early Triassic,Triassic,Dinerian,0.8,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
PDJ-140,South China,GBG,Dajiang Fm.,156.2,Early Triassic,Triassic,Dinerian,0.6,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
PDJ-148,South China,GBG,Dajiang Fm.,176,Early Triassic,Triassic,Dinerian,1.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
PDJ-162,South China,GBG,Dajiang Fm.,207.5,Early Triassic,Triassic,Dinerian,0.8,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD-9,Oman,Saiq,Saiq Fm.,198,Early Triassic,Triassic,Dinerian,0.9,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD-8,Oman,Saiq,Saiq Fm.,190,Early Triassic,Triassic,Griesbachian,1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD-7,Oman,Saiq,Saiq Fm.,182,Early Triassic,Triassic,Griesbachian,1.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD-6,Oman,Saiq,Saiq Fm.,174,Early Triassic,Triassic,Griesbachian,1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD 5,Oman,Saiq,Saiq Fm.,166,Early Triassic,Triassic,Griesbachian,0.7,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD 4,Oman,Saiq,Saiq Fm.,158,Early Triassic,Triassic,Griesbachian,,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD-3,Oman,Saiq,Saiq Fm.,150,Early Triassic,Triassic,Griesbachian,0.8,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD 2,Oman,Saiq,Saiq Fm.,143,Early Triassic,Triassic,Griesbachian,0.7,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQD-1,Oman,Saiq,Saiq Fm.,133,Early Triassic,Triassic,Griesbachian,0.9,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC 27,Oman,Saiq,Saiq Fm.,130,Late Permian,Permian,Changsingian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC- 22,Oman,Saiq,Saiq Fm.,125,Late Permian,Permian,Changsingian,0.6,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC-21,Oman,Saiq,Saiq Fm.,124,Late Permian,Permian,Changsingian,1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC-18,Oman,Saiq,Saiq Fm.,121,Late Permian,Permian,Changsingian,1.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC-14,Oman,Saiq,Saiq Fm.,105,Late Permian,Permian,Changsingian,1.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC-10,Oman,Saiq,Saiq Fm.,85,Late Permian,Permian,Changsingian,1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC-9 ,Oman,Saiq,Saiq Fm.,80,Late Permian,Permian,Changsingian,1.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC-5,Oman,Saiq,Saiq Fm.,40,Late Permian,Permian,Changsingian,0.7,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC 2,Oman,Saiq,Saiq Fm.,10,Late Permian,Permian,Changsingian,0.7,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
SQC 1,Oman,Saiq,Saiq Fm.,0,Late Permian,Permian,Changsingian,0.9,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
0,Uzbekistan,Taskent,Çekiç Da_ Fm.,0,Late Permian,Permian,Changsingian,0.6,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
6,Uzbekistan,Taskent,Çekiç Da_ Fm.,6,Late Permian,Permian,Changsingian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
7,Uzbekistan,Taskent,Çekiç Da_ Fm.,7,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
10,Uzbekistan,Taskent,Çekiç Da_ Fm.,10,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
16,Uzbekistan,Taskent,Çekiç Da_ Fm.,16,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
18,Uzbekistan,Taskent,Çekiç Da_ Fm.,18,Late Permian,Permian,Changsingian,0.4,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
25,Uzbekistan,Taskent,Çekiç Da_ Fm.,25,Late Permian,Permian,Changsingian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
35,Uzbekistan,Taskent,Çekiç Da_ Fm.,35,Late Permian,Permian,Changsingian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
37,Uzbekistan,Taskent,Çekiç Da_ Fm.,37,Late Permian,Permian,Changsingian,0.4,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
40,Uzbekistan,Taskent,Çekiç Da_ Fm.,40,Late Permian,Permian,Changsingian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
44,Uzbekistan,Taskent,Çekiç Da_ Fm.,44,Late Permian,Permian,Changsingian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
47,Uzbekistan,Taskent,Çekiç Da_ Fm.,47,Late Permian,Permian,Changsingian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
47.5,Uzbekistan,Taskent,Çekiç Da_ Fm.,47.5,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
48,Uzbekistan,Taskent,Çekiç Da_ Fm.,48,Late Permian,Permian,Changsingian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
0.03,Uzbekistan,Taskent,Çekiç Da_ Fm.,48.03,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
1.5,Uzbekistan,Taskent,Çekiç Da_ Fm.,49.5,Late Permian,Permian,Changsingian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
2.15,Uzbekistan,Taskent,Çekiç Da_ Fm.,50.15,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
2.9,Uzbekistan,Taskent,Çekiç Da_ Fm.,50.9,Early Triassic,Triassic,Griesbachian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
3.8,Uzbekistan,Taskent,Çekiç Da_ Fm.,51.8,Early Triassic,Triassic,Griesbachian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4.15,Uzbekistan,Taskent,Gevne Fm.,52.15,Early Triassic,Triassic,Griesbachian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
7.3,Uzbekistan,Taskent,Gevne Fm.,55.3,Early Triassic,Triassic,Griesbachian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
12.3,Uzbekistan,Taskent,Gevne Fm.,60.3,Early Triassic,Triassic,Griesbachian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
18.1,Uzbekistan,Taskent,Gevne Fm.,66.1,Early Triassic,Triassic,Griesbachian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
27.1,Uzbekistan,Taskent,Gevne Fm.,75.1,Early Triassic,Triassic,Griesbachian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
34.1,Uzbekistan,Taskent,Gevne Fm.,82.1,Early Triassic,Triassic,Griesbachian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
40.1,Uzbekistan,Taskent,Gevne Fm.,88.1,Early Triassic,Triassic,Griesbachian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
45.5,Uzbekistan,Taskent,Gevne Fm.,93.5,Early Triassic,Triassic,Griesbachian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
47,Uzbekistan,Taskent,Gevne Fm.,95,Early Triassic,Triassic,Griesbachian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
48,Uzbekistan,Taskent,Gevne Fm.,96,Early Triassic,Triassic,Griesbachian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
48.5,Uzbekistan,Taskent,Gevne Fm.,96.5,Early Triassic,Triassic,Griesbachian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
54.5,Uzbekistan,Taskent,Gevne Fm.,102.5,Early Triassic,Triassic,Griesbachian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
58.7,Uzbekistan,Taskent,Gevne Fm.,106.7,Early Triassic,Triassic,Griesbachian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
62,Uzbekistan,Taskent,Gevne Fm.,110,Early Triassic,Triassic,Griesbachian,0.6,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
95,Uzbekistan,Taskent,Gevne Fm.,143,Early Triassic,Triassic,Griesbachian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
109,Uzbekistan,Taskent,Gevne Fm.,157,Early Triassic,Triassic,Griesbachian,0.7,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
136.5,Uzbekistan,Taskent,Gevne Fm.,184.5,Early Triassic,Triassic,Griesbachian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
151,Uzbekistan,Taskent,Gevne Fm.,199,Early Triassic,Triassic,Griesbachian,0.9,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
176.2,Uzbekistan,Taskent,Gevne Fm.,224.2,Early Triassic,Triassic,Griesbachian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
207,Uzbekistan,Taskent,Gevne Fm.,255,Early Triassic,Triassic,Dienerian,0.7,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
226,Uzbekistan,Taskent,Gevne Fm.,274,Early Triassic,Triassic,Smithian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
234,Uzbekistan,Taskent,Gevne Fm.,282,Early Triassic,Triassic,Smithian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
287,Uzbekistan,Taskent,Gevne Fm.,335,Early Triassic,Triassic,Smithian,0.5,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-c,Northern Italy,Tesero,Bellerophon Fm.,1.5,Late Permian,Permian,Changsingian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-j,Northern Italy,Tesero,Bellerophon Fm,4.25,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-m,Northern Italy,Tesero,Bellerophon Fm,5.45,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-q,Northern Italy,Tesero,Bellerophon Fm,9.95,Late Permian,Permian,Changsingian,0.4,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-t,Northern Italy,Tesero,Bellerophon Fm,11,Late Permian,Permian,Changsingian,0.4,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-y,Northern Italy,Tesero,Bellerophon Fm,14.05,Late Permian,Permian,Changsingian,0.3,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-aa,Northern Italy,Tesero,Bellerophon Fm,16.9,Late Permian,Permian,Changsingian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-ac,Northern Italy,Tesero,Bellerophon Fm,17.3,Late Permian,Permian,Changsingian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-ae,Northern Italy,Tesero,TOH,18.6,Late Permian,Permian,Changsingian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-af,Northern Italy,Tesero,TOH,18.9,Late Permian,Permian,Changsingian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-ah,Northern Italy,Tesero,TOH,20.3,Late Permian,Permian,Changsingian,0,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-am,Northern Italy,Tesero,TOH,22.65,Late Permian,Permian,Changsingian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-an,Northern Italy,Tesero,TOH,22.9,Late Permian,Permian,Changsingian,-0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-ao,Northern Italy,Tesero,TOH,23.25,Late Permian,Permian,Changsingian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
4-ap,Northern Italy,Tesero,TOH,23.7,Late Permian,Permian,Changsingian,-0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
5-u,Northern Italy,Tesero,Werfen Fm.,25,Early Triassic,Triassic,Griesbachian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
5-x,Northern Italy,Tesero,Werfen Fm.,26.45,Early Triassic,Triassic,Griesbachian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
5-z,Northern Italy,Tesero,Werfen Fm.,29.5,Early Triassic,Triassic,Griesbachian,0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
5-p,Northern Italy,Tesero,Werfen Fm.,44.7,Early Triassic,Triassic,Griesbachian,0.2,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
5-a,Northern Italy,Tesero,Werfen Fm.,90,Early Triassic,Triassic,Dinerian,-0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
5-h,Northern Italy,Tesero,Werfen Fm.,106,Early Triassic,Triassic,Dinerian,-0.1,Silva-Tamayo ,"Silva-Tamayo et al., 2018"
,,,,,,modern,,1.88,,Lowenstein et al. (2014)
