Location,Sample No.,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr,Reference
Pietra dei Saracini,Palaz 19,Middle Triassic,Olenekian,241.87,,Triassospathodus sosioensis,0.708178,Korte et al. (2006)
Pietra dei Saracini,Palaz 20,Middle Triassic,Olenekian,242.71,,Triassospathodus sosioensis,0.708166,Korte et al. (2006)
Pietra dei Saracini,Palaz 41,Middle Triassic,Olenekian,241.66,,Triassospathodus sosioensis,0.708219,Korte et al. (2006)
Pietra dei Saracini,Palaz 40,Middle Triassic,Olenekian,241.47,,Chiosella gondolelloides,0.708127,Korte et al. (2006)
Pietra dei Saracini,Palaz 39,Middle Triassic,Olenekian,241.34,,Chiosella gondolelloides,0.70814,Korte et al. (2006)
Pietra dei Saracini,Palaz 38,Middle Triassic,Olenekian,241.26,,Chiosella gondolelloides,0.708124,Korte et al. (2006)
Xikou section,24,Early Permian,Asselian,298.22,,,0.708105,Wang et al. (2021)
Xikou section,43,Early Permian,Asselian,296.28,,,0.707807,Wang et al. (2021)
Xikou section,177,Early Permian,Asselian,296.28,,,0.707897,Wang et al. (2021)
Xikou section,199,Early Permian,Asselian,296.28,,,0.707836,Wang et al. (2021)
Xikou section,199,Early Permian,Asselian,296.28,,,0.70783,Wang et al. (2021)
Xikou section,12,Early Permian,Asselian,295.54,,,0.70782,Wang et al. (2021)
Xikou section,40,Early Permian,Asselian,295.54,,,0.707814,Wang et al. (2021)
Xikou section,56,Early Permian,Asselian,293.55,,,,Wang et al. (2021)
Xikou section,175,Middle Permian,Wordian,265.72,,,0.707123,Wang et al. (2021)
Xikou section,36,Middle Permian,Wordian,265.21,,,0.70709,Wang et al. (2021)
Xikou section,205,Middle Permian,Wordian,265.11,,,,Wang et al. (2021)
Xikou section,38,Middle Permian,Wordian,264.73,,,,Wang et al. (2021)
Xikou section,34,Middle Permian,Wordian,264.34,,,0.707045,Wang et al. (2021)
Xikou section,37,Middle Permian,Wordian,264.34,,,0.707059,Wang et al. (2021)
Xikou section,11,Middle Permian,Capitanian,264.15,,,0.707047,Wang et al. (2021)
Xikou section,31,Middle Permian,Capitanian,264.14,,,0.70707,Wang et al. (2021)
Xikou section,6,Middle Permian,Capitanian,263.7,,,,Wang et al. (2021)
Xikou section,45,Middle Permian,Capitanian,263.46,,,0.706936,Wang et al. (2021)
Xikou section,9,Middle Permian,Capitanian,263.45,,,0.707006,Wang et al. (2021)
Xikou section,10,Middle Permian,Capitanian,263.45,,,0.706971,Wang et al. (2021)
Xikou section,44,Middle Permian,Capitanian,263.45,,,0.706973,Wang et al. (2021)
Xikou section,212,Middle Permian,Capitanian,263.06,,,0.70695,Wang et al. (2021)
Xikou section,227,Middle Permian,Capitanian,262.97,,,0.706945,Wang et al. (2021)
Xikou section,227,Middle Permian,Capitanian,262.97,,,0.7069,Wang et al. (2021)
Xikou section,26,Middle Permian,Capitanian,262.94,,,,Wang et al. (2021)
Xikou section,88,Middle Permian,Capitanian,262.89,,,0.706912,Wang et al. (2021)
Xikou section,103,Middle Permian,Capitanian,262.89,,,0.70709,Wang et al. (2021)
Xikou section,47,Middle Permian,Capitanian,262.39,,,0.706863,Wang et al. (2021)
Xikou section,32,Middle Permian,Capitanian,262.23,,,0.706862,Wang et al. (2021)
Xikou section,32,Middle Permian,Capitanian,262.23,,,0.70685,Wang et al. (2021)
Xikou section,53,Middle Permian,Capitanian,262.23,,,0.706856,Wang et al. (2021)
Xikou section,188,Middle Permian,Capitanian,262.15,,,0.706927,Wang et al. (2021)
Xikou section,188,Middle Permian,Capitanian,262.15,,,0.706914,Wang et al. (2021)
Xikou section,58,Middle Permian,Capitanian,262,,,,Wang et al. (2021)
Xikou section,206,Middle Permian,Capitanian,262,,,0.706919,Wang et al. (2021)
Xikou section,135,Middle Permian,Capitanian,261.36,,,0.706886,Wang et al. (2021)
Xikou section,101,Middle Permian,Capitanian,261.33,,,0.706886,Wang et al. (2021)
Xikou section,61,Middle Permian,Capitanian,261.04,,,0.706881,Wang et al. (2021)
Xikou section,178,Middle Permian,Capitanian,260.82,,,0.70712,Wang et al. (2021)
Xikou section,136,Middle Permian,Capitanian,260.81,,,0.706843,Wang et al. (2021)
Xikou section,226,Middle Permian,Capitanian,260.77,,,,Wang et al. (2021)
Xikou section,120,Middle Permian,Capitanian,260.38,,,0.707056,Wang et al. (2021)
Xikou section,62,Middle Permian,Capitanian,260.36,,,0.707003,Wang et al. (2021)
Xikou section,62,Middle Permian,Capitanian,260.36,,,0.706921,Wang et al. (2021)
Xikou section,80,Middle Permian,Capitanian,260.36,,,0.70688,Wang et al. (2021)
Xikou section,141,Middle Permian,Capitanian,260.33,,,0.706862,Wang et al. (2021)
Xikou section,141,Middle Permian,Capitanian,260.33,,,0.706885,Wang et al. (2021)
Xikou section,18,Middle Permian,Capitanian,259.87,,,,Wang et al. (2021)
Xikou section,50,Middle Permian,Capitanian,259.87,,,,Wang et al. (2021)
Xikou section,52,Middle Permian,Capitanian,259.87,,,0.707276,Wang et al. (2021)
Xikou section,183,Middle Permian,Capitanian,259.87,,,0.707136,Wang et al. (2021)
Xikou section,214,Middle Permian,Capitanian,259.87,,,0.706907,Wang et al. (2021)
Xikou section,214,Middle Permian,Capitanian,259.87,,,0.706911,Wang et al. (2021)
Xikou section,48,Middle Permian,Capitanian,259.82,,,,Wang et al. (2021)
Xikou section,51,Middle Permian,Capitanian,259.58,,,,Wang et al. (2021)
Xikou section,86,Middle Permian,Capitanian,259.53,,,0.706838,Wang et al. (2021)
Xikou section,203,Middle Permian,Capitanian,259.53,,,,Wang et al. (2021)
Xikou section,180,Late Permian ,Wuchiapingian,258.89,,,0.706934,Wang et al. (2021)
Xikou section,179,Late Permian ,Wuchiapingian,258.77,,,0.707155,Wang et al. (2021)
Xikou section,182,Late Permian ,Wuchiapingian,258.74,,,0.707118,Wang et al. (2021)
Xikou section,70,Late Permian ,Wuchiapingian,258.63,,,,Wang et al. (2021)
Xikou section,181,Late Permian ,Wuchiapingian,258.62,,,0.707209,Wang et al. (2021)
Xikou section,22,Late Permian ,Wuchiapingian,258.42,,,0.707091,Wang et al. (2021)
Xikou section,68,Late Permian ,Wuchiapingian,258.05,,,,Wang et al. (2021)
Xikou section,221,Late Permian ,Wuchiapingian,257.92,,,,Wang et al. (2021)
Xikou section,25,Late Permian ,Wuchiapingian,257.87,,,0.706996,Wang et al. (2021)
Xikou section,29,Late Permian ,Wuchiapingian,257.44,,,,Wang et al. (2021)
Xikou section,184,Late Permian ,Wuchiapingian,257.39,,,0.707037,Wang et al. (2021)
Xikou section,123,Late Permian ,Wuchiapingian,257.39,,,,Wang et al. (2021)
Xikou section,67,Late Permian ,Wuchiapingian,257.38,,,0.70701,Wang et al. (2021)
Xikou section,198,Late Permian ,Wuchiapingian,257.34,,,,Wang et al. (2021)
Xikou section,105,Late Permian ,Wuchiapingian,257.32,,,,Wang et al. (2021)
Xikou section,189,Late Permian ,Wuchiapingian,256.92,,,0.706959,Wang et al. (2021)
Xikou section,17,Late Permian ,Wuchiapingian,256.91,,,,Wang et al. (2021)
Xikou section,197,Late Permian ,Wuchiapingian,256.91,,,0.707028,Wang et al. (2021)
Xikou section,194,Late Permian ,Wuchiapingian,256.9,,,0.706952,Wang et al. (2021)
Xikou section,191,Late Permian ,Wuchiapingian,256.87,,,0.706999,Wang et al. (2021)
Xikou section,200,Late Permian ,Wuchiapingian,256.87,,,0.706964,Wang et al. (2021)
Xikou section,89,Late Permian ,Wuchiapingian,256.81,,,,Wang et al. (2021)
Xikou section,192,Late Permian ,Wuchiapingian,256.81,,,0.707001,Wang et al. (2021)
Xikou section,192,Late Permian ,Wuchiapingian,256.81,,,0.707446,Wang et al. (2021)
Xikou section,92,Late Permian ,Wuchiapingian,256.63,,,,Wang et al. (2021)
Xikou section,94,Late Permian ,Wuchiapingian,256.44,,,,Wang et al. (2021)
Xikou section,96,Late Permian ,Wuchiapingian,256.31,,,,Wang et al. (2021)
Xikou section,224,Late Permian ,Wuchiapingian,256.3,,,0.70698,Wang et al. (2021)
Xikou section,216,Late Permian ,Wuchiapingian,256.24,,,0.706985,Wang et al. (2021)
Xikou section,222,Late Permian ,Wuchiapingian,256.24,,,0.707003,Wang et al. (2021)
Xikou section,190,Late Permian ,Wuchiapingian,256.21,,,0.707058,Wang et al. (2021)
Xikou section,223,Late Permian ,Wuchiapingian,256.18,,,0.706985,Wang et al. (2021)
Xikou section,215,Late Permian ,Wuchiapingian,255.86,,,0.707006,Wang et al. (2021)
Xikou section,99,Late Permian ,Wuchiapingian,255.86,,,0.7073,Wang et al. (2021)
Xikou section,102,Late Permian ,Wuchiapingian,255.81,,,0.706953,Wang et al. (2021)
Xikou section,230,Late Permian ,Wuchiapingian,255.79,,,0.706977,Wang et al. (2021)
Xikou section,230,Late Permian ,Wuchiapingian,255.79,,,0.706965,Wang et al. (2021)
Xikou section,8,Late Permian ,Wuchiapingian,255.67,,,,Wang et al. (2021)
Xikou section,193,Late Permian ,Wuchiapingian,255.66,,,0.706995,Wang et al. (2021)
Xikou section,193,Late Permian ,Wuchiapingian,255.66,,,0.706979,Wang et al. (2021)
Xikou section,75,Late Permian ,Wuchiapingian,255.51,,,0.707023,Wang et al. (2021)
Xikou section,100,Late Permian ,Wuchiapingian,255.49,,,,Wang et al. (2021)
Xikou section,122,Late Permian ,Wuchiapingian,254.9,,,,Wang et al. (2021)
Xikou section,176,Late Permian ,Wuchiapingian,254.88,,,,Wang et al. (2021)
Xikou section,71,Late Permian ,Wuchiapingian,254.83,,,,Wang et al. (2021)
Xikou section,219,Late Permian ,Wuchiapingian,254.83,,,0.707016,Wang et al. (2021)
Xikou section,16,Late Permian ,Wuchiapingian,254.75,,,,Wang et al. (2021)
Xikou section,104,Late Permian ,Wuchiapingian,254.37,,,0.707009,Wang et al. (2021)
Xikou section,163,Late Permian ,Wuchiapingian,254.35,,,0.707067,Wang et al. (2021)
Xikou section,163,Late Permian ,Wuchiapingian,254.35,,,0.707033,Wang et al. (2021)
Xikou section,13,Late Permian ,Wuchiapingian,254.35,,,0.706989,Wang et al. (2021)
Xikou section,106,Late Permian ,Wuchiapingian,254.35,,,0.707006,Wang et al. (2021)
Xikou section,220,Late Permian ,Wuchiapingian,254.35,,,0.707021,Wang et al. (2021)
Xikou section,162,Late Permian ,Wuchiapingian,254.31,,,0.707031,Wang et al. (2021)
Xikou section,161,Late Permian ,Wuchiapingian,254.18,,,0.707029,Wang et al. (2021)
Xikou section,158,Late Permian ,Wuchiapingian,254.11,,,0.707011,Wang et al. (2021)
Xikou section,112,Late Permian ,Wuchiapingian,254.11,,,0.707004,Wang et al. (2021)
Xikou section,164,Late Permian ,Wuchiapingian,254.06,,,0.707003,Wang et al. (2021)
Xikou section,144,Late Permian ,Wuchiapingian,254.06,,,0.707018,Wang et al. (2021)
Xikou section,165,Late Permian ,Wuchiapingian,254.02,,,0.707068,Wang et al. (2021)
Xikou section,165,Late Permian ,Wuchiapingian,254.02,,,0.707001,Wang et al. (2021)
Xikou section,157,Late Permian ,Changhsingian,253.75,,,0.707027,Wang et al. (2021)
Xikou section,170,Late Permian ,Changhsingian,253.61,,,0.707038,Wang et al. (2021)
Xikou section,3,Late Permian ,Changhsingian,253.6,,,0.707018,Wang et al. (2021)
Xikou section,3,Late Permian ,Changhsingian,253.6,,,0.707022,Wang et al. (2021)
Xikou section,116,Late Permian ,Changhsingian,253.6,,,0.707022,Wang et al. (2021)
Xikou section,116,Late Permian ,Changhsingian,253.6,,,0.707005,Wang et al. (2021)
Xikou section,110,Late Permian ,Changhsingian,253.6,,,0.707033,Wang et al. (2021)
Xikou section,110,Late Permian ,Changhsingian,253.6,,,0.707114,Wang et al. (2021)
Xikou section,23,Late Permian ,Changhsingian,253.56,,,0.706975,Wang et al. (2021)
Xikou section,1,Late Permian ,Changhsingian,253.38,,,0.707036,Wang et al. (2021)
Xikou section,155,Late Permian ,Changhsingian,253.37,,,,Wang et al. (2021)
Xikou section,156,Late Permian ,Changhsingian,253.36,,,,Wang et al. (2021)
Xikou section,79,Late Permian ,Changhsingian,253.34,,,,Wang et al. (2021)
Xikou section,76,Late Permian ,Changhsingian,252.82,,,,Wang et al. (2021)
Xikou section,169,Late Permian ,Changhsingian,252.55,,,,Wang et al. (2021)
Xikou section,167,Late Permian ,Changhsingian,252.52,,,0.707069,Wang et al. (2021)
Xikou section,167,Late Permian ,Changhsingian,252.52,,,0.707065,Wang et al. (2021)
Xikou section,160,Late Permian ,Changhsingian,252.51,,,0.707158,Wang et al. (2021)
Xikou section,160,Late Permian ,Changhsingian,252.51,,,0.707085,Wang et al. (2021)
Xikou section,201,Late Permian ,Changhsingian,252.46,,,0.707056,Wang et al. (2021)
Xikou section,83,Late Permian ,Changhsingian,252.32,,,0.707138,Wang et al. (2021)
Xikou section,21,Late Permian ,Changhsingian,252.24,,,,Wang et al. (2021)
Xikou section,171,Late Permian ,Changhsingian,252.16,,,0.707141,Wang et al. (2021)
Xikou section,14,Late Permian ,Changhsingian,252.15,,,0.707164,Wang et al. (2021)
Xikou section,20,Late Permian ,Changhsingian,251.96,,,0.707137,Wang et al. (2021)
Xikou section,174,Late Permian ,Changhsingian,251.9,,,0.707167,Wang et al. (2021)
Shanggang,SG-164,Early Triassic,Olenekian,248.42,Carbonate,,0.709224,Cao et al. (2022)
Shanggang,SG-160,Early Triassic,Olenekian,248.77,Carbonate,,0.709213,Cao et al. (2022)
Shanggang,SG-156,Early Triassic,Olenekian,249.15,Carbonate,,0.709106,Cao et al. (2022)
Shanggang,SG-153a,Early Triassic,Olenekian,249.58,Carbonate,,0.70938,Cao et al. (2022)
Shanggang,SG-145,Early Triassic,Olenekian,250.37,Carbonate,,0.708761,Cao et al. (2022)
Shanggang,SG-138,Early Triassic,Olenekian,250.57,Carbonate,,0.709403,Cao et al. (2022)
Shanggang,SG-132,Early Triassic,Olenekian,250.65,Carbonate,,0.708289,Cao et al. (2022)
Shanggang,SG-116*,Early Triassic,Olenekian,250.95,Carbonate,,0.710453,Cao et al. (2022)
Shanggang,SG-106,Early Triassic,Olenekian,251.2,Carbonate,,0.708893,Cao et al. (2022)
Shanggang,SG-102*,Early Triassic,Induan,251.24,Carbonate,,0.709596,Cao et al. (2022)
Shanggang,SG-97,Early Triassic,Induan,251.27,Carbonate,,0.708612,Cao et al. (2022)
Shanggang,SG-92,Early Triassic,Induan,251.31,Carbonate,,0.70867,Cao et al. (2022)
Shanggang,SG-81,Early Triassic,Induan,251.37,Carbonate,,0.708747,Cao et al. (2022)
Shanggang,SG-69,Early Triassic,Induan,251.4,Carbonate,,0.708537,Cao et al. (2022)
Shanggang,SG-60,Early Triassic,Induan,251.43,Carbonate,,0.708688,Cao et al. (2022)
Shanggang,SG-50,Early Triassic,Induan,251.5,Carbonate,,0.708255,Cao et al. (2022)
Shanggang,SG-43a,Early Triassic,Induan,251.55,Carbonate,,0.708289,Cao et al. (2022)
Shanggang,SG-25,Early Triassic,Induan,251.62,Carbonate,,0.708499,Cao et al. (2022)
Shanggang,SG-17,Early Triassic,Induan,251.66,Carbonate,,0.70808,Cao et al. (2022)
Shanggang,SG-16,Early Triassic,Induan,251.68,Carbonate,,0.708421,Cao et al. (2022)
Shanggang,SG-14,Early Triassic,Induan,251.69,Carbonate,,0.708048,Cao et al. (2022)
Shanggang,SG-13+0.45,Early Triassic,Induan,251.72,Carbonate,,0.708214,Cao et al. (2022)
Shanggang,SG-12+5.6,Early Triassic,Induan,251.75,Carbonate,,0.707611,Cao et al. (2022)
Shanggang,SG-12+2.5,Early Triassic,Induan,251.83,Carbonate,,0.707698,Cao et al. (2022)
Shanggang,SG-11+1.3,Late Permian ,Changhsingian,251.91,Carbonate,,0.707882,Cao et al. (2022)
Shanggang,SG-11+0.9,Late Permian ,Changhsingian,251.92,Carbonate,,0.708056,Cao et al. (2022)
Shanggang,SG-10-0.1,Late Permian ,Changhsingian,251.95,Carbonate,,0.707509,Cao et al. (2022)
Shanggang,SG-10+2.1,Late Permian ,Changhsingian,252.03,Carbonate,,0.707294,Cao et al. (2022)
Shanggang,SG-10+0.1,Late Permian ,Changhsingian,252.13,Carbonate,,0.707454,Cao et al. (2022)
Shanggang,SG-9+6.4,Late Permian ,Changhsingian,252.19,Carbonate,,0.707546,Cao et al. (2022)
Shanggang,SG-9+4.5,Late Permian ,Changhsingian,252.29,Carbonate,,0.707481,Cao et al. (2022)
Shanggang,SG-9+3.4,Late Permian ,Changhsingian,252.34,Carbonate,,0.707425,Cao et al. (2022)
Shanggang,SG-9+1.6,Late Permian ,Changhsingian,252.43,Carbonate,,0.707618,Cao et al. (2022)
Shangsi,SS005605-5,Late Permian ,Capitanian,259.38,Carbonate,,0.707015,Cao et al. (2022)
Shangsi,SS006300-5,Late Permian ,Capitanian,259.19,Carbonate,,,Cao et al. (2022)
Shangsi,SS006900-5,Late Permian ,Wuchiapingian,259.03,Carbonate,,0.707016,Cao et al. (2022)
Shangsi,SS0081105-5,Late Permian ,Wuchiapingian,258.64,Carbonate,,,Cao et al. (2022)
Shangsi,SS013599-5,Late Permian ,Wuchiapingian,258.34,Carbonate,,0.707249,Cao et al. (2022)
Shangsi,SS015156-2,Late Permian ,Wuchiapingian,257.46,Carbonate,,0.707032,Cao et al. (2022)
Shangsi,SS015283-2*,Late Permian ,Wuchiapingian,257.14,Carbonate,,0.707124,Cao et al. (2022)
Shangsi,SS018585-2,Late Permian ,Changhsingian,253.35,Carbonate,,0.707076,Cao et al. (2022)
Shangsi,SS5021016-3,Late Permian ,Changhsingian,252.89,Carbonate,,0.707185,Cao et al. (2022)
Shangsi,SS022169-3*,Late Permian ,Changhsingian,252.32,Carbonate,,0.707199,Cao et al. (2022)
Shangsi,SS024021-3,Late Permian ,Changhsingian,252.13,Carbonate,,0.707174,Cao et al. (2022)
Shangsi,SS030104-2,Early Triassic,Induan,251.41,Carbonate,,0.707335,Cao et al. (2022)
Tieqaio,1241670,Early Permian,Kungurian,283.5,Carbonate,Ps. Coastatus,0.707511,Cao et al. (2022)
Tieqiao,1241710,Early Permian,Kungurian,281.99,Carbonate,,0.707414,Cao et al. (2022)
Tieqiao,1241746,Early Permian,Kungurian,280.31,Carbonate,,0.707371,Cao et al. (2022)
Tieqaio,1241790,Early Permian,Kungurian,278.57,Carbonate,,0.707274,Cao et al. (2022)
Tieqaio,1241842,Early Permian,Kungurian,275.95,Carbonate,,0.707227,Cao et al. (2022)
Tieqaio,1241894,Early Permian,Kungurian,273.95,Carbonate,S. subasymmetricus,0.707156,Cao et al. (2022)
Tieqaio,1241926,Early Permian,Kungurian,273.09,Carbonate,S. subasymmetricus,0.707076,Cao et al. (2022)
Tieqaio,1241960,Middle Permian,Roadian,270.45,Carbonate,J. nankingensis,0.707205,Cao et al. (2022)
Tieqaio,1241997,Middle Permian,Roadian,269.3,Carbonate,J. nankingensis,0.7071,Cao et al. (2022)
Tieqaio,1242446,Middle Permian,Wordian,268.09,Carbonate,J. aserrata,0.707078,Cao et al. (2022)
Tieqaio,1242454,Middle Permian,Wordian,266.77,Carbonate,J. aserrata,0.707131,Cao et al. (2022)
Tieqaio,1242462,Middle Permian,Capitanian,265.1,Carbonate,J. aserrata,0.707127,Cao et al. (2022)
Tieqaio,1242470,Middle Permian,Capitanian,264.34,Carbonate,J. posterrata,0.707136,Cao et al. (2022)
Tieqaio,1242478,Middle Permian,Capitanian,263.43,Carbonate,J. posterrata,0.707127,Cao et al. (2022)
Tieqaio,1242486,Middle Permian,Capitanian,262.55,Carbonate,J. shannoni/J. altudaensis,0.707227,Cao et al. (2022)
Tieqaio,1242493,Middle Permian,Capitanian,261.75,Carbonate,J. shannoni/J. altudaensis,0.707084,Cao et al. (2022)
Tieqaio,1242512*,Middle Permian,Capitanian,260.03,Carbonate,J. prexuanhanensis,0.707177,Cao et al. (2022)
Tieqaio,2584,Late Permian ,Wuchiapingian,258.72,Carbonate,C. leveni(?),0.7071,Cao et al. (2022)
Tieqaio,2619,Late Permian ,Wuchiapingian,257.96,Carbonate,,0.707185,Cao et al. (2022)
Tieqaio,2660,Late Permian ,Wuchiapingian,257.5,Carbonate,,0.707198,Cao et al. (2022)
Tieqaio,2704,Late Permian ,Wuchiapingian,256.59,Carbonate,,0.707237,Cao et al. (2022)
Tieqaio,2729,Late Permian ,Wuchiapingian,255.64,Carbonate,,0.707203,Cao et al. (2022)
Tieqaio,2743,Late Permian ,Wuchiapingian,255.21,Carbonate,,,Cao et al. (2022)
Tieqaio,2790,Late Permian ,Wuchiapingian,254.31,Carbonate,,0.707172,Cao et al. (2022)
Jolfa,JAF_2018_C_1019,Late Permian ,Wuchiapingian,256.32,Brachiopod,,0.707014,Cao et al. (2022)
Reef trail,JAF_2018_C_1011,Middle Permian,Capitanian,260.31,Brachiopod,,0.706815,Cao et al. (2022)
RC 46.5 mi. from Carlsbad,JAF_2018_C_1010,Middle Permian,Capitanian,263.6,Brachiopod,,0.706842,Cao et al. (2022)
,HB 11 1,Late Permian ,Wuchiapingian,255.73,brachiopod,"U5c=APP5005/6, Cherrabun Mbr.",0.707151,Morante (1996)
,HB 11 2,Late Permian ,Wuchiapingian,255.73,brachiopod,"U5c=APP5005/6, Cherrabun Mbr.",0.707141,Morante (1996)
,"S 19 514,25",Late Permian ,Wuchiapingian,256.54,brachiopod,"U5b=APP5004, top Peawaddy",0.706881,Morante (1996)
,UQ L 2421,Late Permian ,Wuchiapingian,256.54,brachiopod,"U5c=APP5004, top Peawaddy",0.706941,Morante (1996)
,E 1 647,Late Permian ,Wuchiapingian,257.25,brachiopod,"U5 = APP5, Peawaddy",0.706921,Morante (1996)
,E 5 735,Middle Permian,Capitanian,261.57,brachiopod,"bottom U5b= APP5004, top Ingelara",0.706451,Morante (1996)
,E 5 735,Middle Permian,Capitanian,261.57,brachiopod,"bottom U5b= APP5004, top Ingelara",0.706501,Morante (1996)
,E 1 692,Middle Permian,Capitanian,261.92,brachiopod,"U5 = APP5, top third Ingelara",0.706791,Morante (1996)
,"E 1 693,8",Middle Permian,Capitanian,261.92,brachiopod,"U5 = APP5, top third Ingelara",0.706831,Morante (1996)
,"E 1 701,8",Middle Permian,Capitanian,262.16,brachiopod,"U5 = APP5, top third Ingelara",0.706901,Morante (1996)
,E 1 702,Middle Permian,Capitanian,262.16,brachiopod,"U5 = APP5, top third Ingelara",0.706871,Morante (1996)
,E 1 784,Middle Permian,Capitanian,263.04,brachiopod,"U5a= 5001-2, Freitag equivalent",0.706851,Morante (1996)
,"E 1 793,1",Middle Permian,Capitanian,263.04,brachiopod,"U5a= 5001-2, Freitag equivalent",0.706881,Morante (1996)
,E 5 833,Middle Permian,Capitanian,263.04,brachiopod,"U5a= 5001-3, Freitag",0.706861,Morante (1996)
,UQ L 3543,Middle Permian,Capitanian,264.51,brachiopod,"L5c=APP43, Scottsville Mbr.",0.706941,Morante (1996)
,"E 5 864,35",Middle Permian,Wordian,266.95,brachiopod,"L5c=APP43, top [third] Aldebaran",0.706881,Morante (1996)
,"E 5 972,59",Middle Permian,Wordian,269.58,brachiopod,"U4 non; L5b=APP42, middle Aldebaran",0.707051,Morante (1996)
,UQ L 5129,Middle Permian,Wordian,271.72,brachiopod,"top U4b= APP33, Fenestella Shale",0.706971,Morante (1996)
New South Wales,42,Middle Permian,Roadian,271,brachiopod (doubtful),"Ingerella sp._Gerringong Volcanics, Sydney Basin",0.706919,Veizer and Compston (1974)
New South Wales,43,Middle Permian,Roadian,271,brachiopod (doubtful),"Spirifer convolutus_Gerringong Volcanics, Sydney Basin",0.707219,Veizer and Compston (1974)
Garden Valley Formation / Nevada,NV-3,Early Permian,Art,275,conodonts,M. bisselli-Sw. primus,0.707957,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-I,Middle Permian,Art,267.1,conodonts,M. bisselli-Sw. shitei,0.708011,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-2,Middle Permian,Art,266.9,conodonts,,0.708093,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-3,Middle Permian,Kung,266.7,conodonts,N. exsculptus-M. gujoensis,0.708345,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-4,Middle Permian,Kung,266.5,conodonts,N. foliatus,0.707605,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-5,Middle Permian,Kung,266.3,conodonts,M. foliatus-M/ idahoensis,0.707453,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-6,Middle Permian,Kung,266.1,conodonts,M. foliatus-M/ idahoensis,0.707629,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-7,Middle Permian,Kung,265.9,conodonts,M. foliatus-M/ idahoensis,0.707643,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-8,Middle Permian,Kung,265.7,conodonts,N. prayi-M. idahoensis,0.707561,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-9,Middle Permian,Kung,265.5,conodonts,N. prayi-M. idahoensis,0.707506,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-10,Middle Permian,Kung,265.3,conodonts,N. prayi-M. idahoensis,0.707513,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-11,Middle Permian,Kung,265.1,conodonts,N. prayi-M. idahoensis,0.707416,Marting and Madcougall (1995)
"Skinner Ranch, Glass Mountains / Texas",SR-12,Middle Permian,Kung,264.9,conodonts,N. prayi-M. idahoensis,0.707461,Marting and Madcougall (1995)
"Split Tank, Glass Mountains / Texas",ST-I,Middle Permian,Kung,264.75,conodonts,N. prayi-M. idahoensis,0.707336,Marting and Madcougall (1995)
"Split Tank, Glass Mountains / Texas",ST-2,Middle Permian,Kung,264.6,conodonts,N. sulcopilcatus-M. idahoensis,0.707341,Marting and Madcougall (1995)
"Split Tank, Glass Mountains / Texas",ST-3,Middle Permian,Kung,264.4,conodonts,N. sulcopilcatus-M. idahoensis,0.707333,Marting and Madcougall (1995)
"Split Tank, Glass Mountains / Texas",ST-4+5,Middle Permian,Kung/Uf,264,conodonts,N. sulcopilcatus-M. idahoensis,0.707388,Marting and Madcougall (1995)
"Split Tank, Glass Mountains / Texas",ST-6,Middle Permian,Uf,262.1,conodonts,M. serrata,0.707331,Marting and Madcougall (1995)
Del Norte Mountains / Texas,TX-2,Middle Permian,Kaz,261.75,conodonts,M. asserrata,0.707229,Marting and Madcougall (1995)
Del Norte Mountains / Texas,TX-3,Middle Permian,Kaz,261,conodonts,M. asserrata,0.706914,Marting and Madcougall (1995)
Del Norte Mountains / Texas,TX-5,Late Permian ,Cap,258.25,conodonts,M. asserrata,0.707031,Marting and Madcougall (1995)
Del Norte Mountains / Texas,TX-6,Late Permian ,Cap,257.8,conodonts,Del Norte Mountains / M. postserrata,0.706948,Marting and Madcougall (1995)
"Bird Mine, Del Norte Mountains / Texas",BM-I,Late Permian ,Cap,258.25,conodonts,M. asserrata,0.707247,Marting and Madcougall (1995)
"Bird Mine, Del Norte Mountains / Texas",BM-2,Late Permian ,Cap,257.8,conodonts,M. postserrata,0.707406,Marting and Madcougall (1995)
"Bird Mine, Del Norte Mountains / Texas",BM-3,Late Permian ,Cap,256.3,conodonts,M. postserrata,0.707059,Marting and Madcougall (1995)
"Bird Mine, Del Norte Mountains / Texas",BM-4,Late Permian ,Cap,256.1,conodonts,M. nuchalina,0.707027,Marting and Madcougall (1995)
"Bird Mine, Del Norte Mountains / Texas",BM-5,Late Permian ,Cap,256.5,conodonts,M. postserrata,0.706913,Marting and Madcougall (1995)
