Location,Sample No.,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr,Reference
Qingyan,Qingyan-33 ,Early Triassic,Spathian,247.93,,Triassospathodus homeri ,0.70797,Song et al. (2015)
Guandao,GuandaoI-34 ,Early Triassic,Spathian,248.1,,Triassospathodus homeri ,0.70843,Song et al. (2015)
Guandao,GuandaoI-33 ,Early Triassic,Spathian,248.25,,Triassospathodus homeri ,0.70848,Song et al. (2015)
Guandao,GuandaoI-32 ,Early Triassic,Spathian,248.35,,Triassospathodus homeri ,0.70825,Song et al. (2015)
Guandao,GuandaoI-31 ,Early Triassic,Spathian,248.4,,Triassospathodus homeri ,0.70827,Song et al. (2015)
Qingyan,Qingyan-30 ,Early Triassic,Spathian,248.45,,Triassospathodus homeri ,0.7083,Song et al. (2015)
Guandao,GuandaoI-30 ,Early Triassic,Spathian,248.5,,Triassospathodus homeri ,0.70832,Song et al. (2015)
Guandao,GuandaoI-29 ,Early Triassic,Spathian,248.6,,Triassospathodus homeri ,0.70818,Song et al. (2015)
Guandao,GuandaoI-28 ,Early Triassic,Spathian,248.7,,Triassospathodus homeri ,0.70832,Song et al. (2015)
Qingyan,Qingyan-28 ,Early Triassic,Spathian,248.8,,Triassospathodus homeri ,0.70822,Song et al. (2015)
Guandao,GuandaoI-27 ,Early Triassic,Spathian,248.81,,Triassospathodus homeri ,0.70846,Song et al. (2015)
Qingyan,Qingyan-27 ,Early Triassic,Spathian,248.98,,Triassospathodus homeri ,0.70837,Song et al. (2015)
Qingyan,Qingyan-26 ,Early Triassic,Spathian,249.15,,Triassospathodus homeri ,0.70815,Song et al. (2015)
Guandao ,GuandaoI-25 ,Early Triassic,Spathian,249.2,,Triassospathodus homeri ,0.70802,Song et al. (2015)
Qingyan,Qingyan-25 ,Early Triassic,Spathian,249.33,,Triassospathodus homeri ,0.70827,Song et al. (2015)
Guandao,GuandaoI-24 ,Early Triassic,Spathian,249.4,,Triassospathodus homeri ,0.70826,Song et al. (2015)
Qingyan,Qingyan-23 ,Early Triassic,Spathian,249.68,,Triassospathodus homeri ,0.70813,Song et al. (2015)
Qingyan,Qingyan-22 ,Early Triassic,Spathian,249.85,,Triassospathodus homeri ,0.70797,Song et al. (2015)
Guandao,GuandaoI-22 ,Early Triassic,Spathian,250,,Icriospathodus crassatus ,0.7078,Song et al. (2015)
Qingyan,Qingyan-20 ,Early Triassic,Spathian,250.2,,Triassospathodus homeri ,0.70825,Song et al. (2015)
