Sample,Country,Formation,Section,Elevation (m),Period,Age,CIA,WIP,CIAcorr.,References,Shuiyuguan section,Dalongkou section
SJS-40/41-1,North China,Sunjiagou,Shuiyuguan section,-20.3,Late Permian,Changhsingian,67,59,74,"Xu et al., 2023",-20.3,
SJS-37-2,North China,Sunjiagou,Shuiyuguan section,-34.3,Late Permian,Changhsingian,70,41,76,"Xu et al., 2023",-34.3,
SJS-37-1,North China,Sunjiagou,Shuiyuguan section,-37.3,Late Permian,Changhsingian,70,53,75,"Xu et al., 2023",-37.3,
SJS-SS-37,North China,Sunjiagou,Shuiyuguan section,-42.8,Late Permian,Changhsingian,68,44,71,"Xu et al., 2023",-42.8,
SJS-SS-35,North China,Sunjiagou,Shuiyuguan section,-46.6,Late Permian,Changhsingian,75,37,78,"Xu et al., 2023",-46.6,
SJS-SS-33,North China,Sunjiagou,Shuiyuguan section,-49.5,Late Permian,Changhsingian,80,27,82,"Xu et al., 2023",-49.5,
XJDN-SFG-14,Xinjiang,Shaofanggou,Dalongkou section,543,Early Triassic,Spathian,79,16,83,"Xu et al., 2023",,543
XJDN-SFG-13,Xinjiang,Shaofanggou,Dalongkou section,506,Early Triassic,Spathian,68,46,74,"Xu et al., 2023",,506
XJDN-SFG-12,Xinjiang,Shaofanggou,Dalongkou section,482,Early Triassic,Spathian,73,44,80,"Xu et al., 2023",,482
XJDN-SFG-11,Xinjiang,Shaofanggou,Dalongkou section,437,Early Triassic,Spathian,70,44,76,"Xu et al., 2023",,437
XJDN-SFG-10,Xinjiang,Shaofanggou,Dalongkou section,435,Early Triassic,Spathian,71,44,78,"Xu et al., 2023",,435
XJDN-SFG-9,Xinjiang,Shaofanggou,Dalongkou section,433,Early Triassic,Spathian,70,44,76,"Xu et al., 2023",,433
XJDN-SFG-8,Xinjiang,Shaofanggou,Dalongkou section,412,Early Triassic,Spathian,70,43,76,"Xu et al., 2023",,412
XJDN-SFG-7,Xinjiang,Shaofanggou,Dalongkou section,406,Early Triassic,Spathian,70,45,78,"Xu et al., 2023",,406
XJDN-SFG-6,Xinjiang,Shaofanggou,Dalongkou section,402,Early Triassic,Spathian,74,38,81,"Xu et al., 2023",,402
XJDN-87,Xinjiang,Shaofanggou,Dalongkou section,398,Early Triassic,Spathian,64,56,72,"Xu et al., 2023",,398
XJDN-SFG-5,Xinjiang,Shaofanggou,Dalongkou section,387,Early Triassic,Spathian,68,51,74,"Xu et al., 2023",,387
XJDN-SFG-4,Xinjiang,Shaofanggou,Dalongkou section,377,Early Triassic,Spathian,67,51,76,"Xu et al., 2023",,377
XJDN-SFG-3,Xinjiang,Shaofanggou,Dalongkou section,362,Early Triassic,Smithian,68,49,77,"Xu et al., 2023",,362
XJDN-SFG-2,Xinjiang,Shaofanggou,Dalongkou section,346.5,Early Triassic,Smithian,61,50,68,"Xu et al., 2023",,346.5
XJDN-SFG-1,Xinjiang,Shaofanggou,Dalongkou section,342,Early Triassic,Smithian,68,52,77,"Xu et al., 2023",,342
XJDN-79,Xinjiang,Shaofanggou,Dalongkou section,340.39,Early Triassic,Smithian,67,55,75,"Xu et al., 2023",,340.39
XJDN-JCY-1,Xinjiang,Jiucaiyuan,Dalongkou section,332.79,Early Triassic,Dienarian,69,51,81,"Xu et al., 2023",,332.79
XJDN-JCY-2,Xinjiang,Jiucaiyuan,Dalongkou section,319,Early Triassic,Dienarian,67,51,76,"Xu et al., 2023",,319
XJDN-JCY-3,Xinjiang,Jiucaiyuan,Dalongkou section,305.8,Early Triassic,Dienarian,66,44,73,"Xu et al., 2023",,305.8
XJDN-JCY-4,Xinjiang,Jiucaiyuan,Dalongkou section,300.8,Early Triassic,Dienarian,64,46,71,"Xu et al., 2023",,300.8
XJDN-JCY-5,Xinjiang,Jiucaiyuan,Dalongkou section,296.8,Early Triassic,Dienarian,63,49,70,"Xu et al., 2023",,296.8
XJDN-JCY-6,Xinjiang,Jiucaiyuan,Dalongkou section,287.8,Early Triassic,Dienarian,67,45,73,"Xu et al., 2023",,287.8
XJDN-JCY-7,Xinjiang,Jiucaiyuan,Dalongkou section,275.8,Early Triassic,Dienarian,68,47,75,"Xu et al., 2023",,275.8
XJDN-JCY-8,Xinjiang,Jiucaiyuan,Dalongkou section,265.8,Early Triassic,Dienarian,67,48,75,"Xu et al., 2023",,265.8
XJDN-69,Xinjiang,Jiucaiyuan,Dalongkou section,263.29,Early Triassic,Dienarian,61,49,67,"Xu et al., 2023",,263.29
XJDN-64,Xinjiang,Jiucaiyuan,Dalongkou section,222.99,Early Triassic,Griesbachian,62,55,63,"Xu et al., 2023",,222.99
XJDN-61,Xinjiang,Jiucaiyuan,Dalongkou section,199.19,Early Triassic,Griesbachian,58,48,57,"Xu et al., 2023",,199.19
XJDN-58,Xinjiang,Jiucaiyuan,Dalongkou section,187.5,Early Triassic,Griesbachian,57,61,57,"Xu et al., 2023",,187.5
DLK-57-2,Xinjiang,Jiucaiyuan,Dalongkou section,168.69,Early Triassic,Griesbachian,61,41,59,"Xu et al., 2023",,168.69
DLK-57-1,Xinjiang,Jiucaiyuan,Dalongkou section,154,Early Triassic,Griesbachian,59,52,62,"Xu et al., 2023",,154
XJDN-54,Xinjiang,Jiucaiyuan,Dalongkou section,147.29,Early Triassic,Griesbachian,60,55,65,"Xu et al., 2023",,147.29
XJDN-53+2.5m,Xinjiang,Jiucaiyuan,Dalongkou section,140.19,Early Triassic,Griesbachian,64,59,68,"Xu et al., 2023",,140.19
JCY+1,Xinjiang,Jiucaiyuan,Dalongkou section,130,Early Triassic,Griesbachian,59,60,66,"Xu et al., 2023",,130
XJDN-GDK-2,Xinjiang,Guodikeng,Dalongkou section,114,Early Triassic,Griesbachian,69,52,75,"Xu et al., 2023",,114
XJDN-GDK-1,Xinjiang,Guodikeng,Dalongkou section,97,Early Triassic,Griesbachian,64,54,70,"Xu et al., 2023",,97
DLK-45-2,Xinjiang,Guodikeng,Dalongkou section,95.34,Early Triassic,Griesbachian,57,64,57,"Xu et al., 2023",,95.34
DLK-45-1,Xinjiang,Guodikeng,Dalongkou section,94.74,Early Triassic,Griesbachian,61,51,62,"Xu et al., 2023",,94.74
DLK-44-2,Xinjiang,Guodikeng,Dalongkou section,93.52,Early Triassic,Griesbachian,63,48,63,"Xu et al., 2023",,93.52
DLK-44-1,Xinjiang,Guodikeng,Dalongkou section,92.82,Early Triassic,Griesbachian,56,66,55,"Xu et al., 2023",,92.82
DLK-43-1,Xinjiang,Guodikeng,Dalongkou section,89.74,Early Triassic,Griesbachian,62,63,62,"Xu et al., 2023",,89.74
DLK-39-1,Xinjiang,Guodikeng,Dalongkou section,76.76,Early Triassic,Griesbachian,60,54,61,"Xu et al., 2023",,76.76
DLK-37-1,Xinjiang,Guodikeng,Dalongkou section,71.17,Early Triassic,Griesbachian,58,55,61,"Xu et al., 2023",,71.17
DLK-33-5,Xinjiang,Guodikeng,Dalongkou section,68.02,Early Triassic,Griesbachian,63,51,70,"Xu et al., 2023",,68.02
DLK-33-4,Xinjiang,Guodikeng,Dalongkou section,65.97,Early Triassic,Griesbachian,64,54,69,"Xu et al., 2023",,65.97
DLK-33-3,Xinjiang,Guodikeng,Dalongkou section,62.87,Early Triassic,Griesbachian,67,49,71,"Xu et al., 2023",,62.87
DLK-33-2,Xinjiang,Guodikeng,Dalongkou section,60.67,Early Triassic,Griesbachian,71,46,75,"Xu et al., 2023",,60.67
DLK-33-1,Xinjiang,Guodikeng,Dalongkou section,54.82,Early Triassic,Griesbachian,63,52,66,"Xu et al., 2023",,54.82
DLK-32-3,Xinjiang,Guodikeng,Dalongkou section,52.82,Early Triassic,Griesbachian,61,54,66,"Xu et al., 2023",,52.82
DLK-32-2,Xinjiang,Guodikeng,Dalongkou section,51.32,Early Triassic,Griesbachian,64,50,70,"Xu et al., 2023",,51.32
