Section/location,Country,Conodont zone,Formation,Period,Stage,Age original (Ma),Age calculated in this study (GST 2020),Li,Reference
Yinkeng Fm,China,,,Triassic,,,,17.1,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,17.5,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,17.4,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,16.9,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,16.4,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,15.7,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,17,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,17.2,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,17.6,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,18,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,15.7,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,15.8,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,17,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,19.5,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,18.6,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,18,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,18.4,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,19.6,Sun et al. 2018
Yinkeng Fm,China,,,Triassic,,,,19.5,Sun et al. 2018
Yinkeng Fm,China,,,Permian,,,,16.8,Sun et al. 2018
Yinkeng Fm,China,,,Permian,,,,15.8,Sun et al. 2018
Yinkeng Fm,China,,,Permian,,,,17,Sun et al. 2018
Yinkeng Fm,China,,,Permian,,,,16.3,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,16,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,10.9,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,13,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,11.8,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,16.4,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,11.8,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,12,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,10.7,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,15.2,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,10.8,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,9.9,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,10.9,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,10.6,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,10.3,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,15.2,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,12.5,Sun et al. 2018
Changhsing Fm,China,,,Permian,,,,20.8,Sun et al. 2018
,,,,Modern ,,,,31,
