Location,Sample No.,Period,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr ,Reference,"Song et al., 2015",
Jolfa,J B-9,Permian,Late Permian ,Dzhulfian,256.32,,Clarkina leveni,0.70699,"Korte et al., 2006",0.70699,
Jolfa,J B-10,Permian,Late Permian ,Dzhulfian,256.2,,Clarkina leveni,0.706945,"Korte et al., 2006",0.706945,
Zhongliang (Chongquing),ch 79,Permian,Late Permian ,,253.77,,,0.707012,"Korte et al., 2006",0.707012,
Meishan D,ch 52,Permian,Late Permian ,,253.1,,Clarkina subcarinata s.l.,0.70706,"Korte et al., 2006",0.70706,
Meishan D,ch 67,Permian,Late Permian ,,253.1,,Clarkina subcarinata s.l.,0.707017,"Korte et al., 2006",0.707017,
Jolfa,J 81-A,Permian,Late Permian ,Dorashamian (Changxingian),252.82,,,0.70705,"Korte et al., 2006",0.70705,
Meishan D,ch 51,Permian,Late Permian ,Changxingian,252.56,,C. changxingensis - C. deflecta s.l.,0.707125,"Korte et al., 2006",0.707125,
Jolfa,J 88,Permian,Late Permian ,Dorashamian (Changxingian),252.26,,C. changxingensis - C. deflecta s.l.,0.707138,"Korte et al., 2006",0.707138,
Meishan D,ch 49,Permian,Late Permian ,Changxingian,252.23,,C. changxingensis - C. deflecta s.l.,0.707051,"Korte et al., 2006",0.707051,
Meishan D,ch 50,Permian,Late Permian ,Changxingian,252.23,,C. changxingensis - C. deflecta s.l.,0.70705,"Korte et al., 2006",0.70705,
Meishan D,ch 57,Permian,Late Permian ,Changxingian,251.96,,C. changxingensis - C. deflecta s.l.,0.707123,"Korte et al., 2006",0.707123,
Meishan D,ch 44,Permian,Late Permian ,Changxingian,251.92,,C. changxingensis - C. deflecta s.l.,0.70722,"Korte et al., 2006",0.70722,
Meishan D,ch 46,Permian,Late Permian ,Changxingian,251.91,,C. changxingensis - C. deflecta s.l.,0.707109,"Korte et al., 2006",0.707109,
Meishan D,ch 69,Triassic,Early Triassic,,251.89,,,0.707094,"Korte et al., 2006",0.707094,
Meishan D,ch 73,Triassic,Early Triassic,,251.85,,,0.707104,"Korte et al., 2006",0.707104,
Meishan D,ch 71,Triassic,Early Triassic,,251.83,,,0.707166,"Korte et al., 2006",0.707166,
Meishan D,ch 72,Triassic,Early Triassic,,251.83,,,0.707157,"Korte et al., 2006",0.707157,
Zhongliang (Chongquing),ch 83,Triassic,Early Triassic,,251.71,,,0.707021,"Korte et al., 2006",0.707021,
Zhongliang (Chongquing),ch 84,Triassic,Early Triassic,,251.7,,,0.707059,"Korte et al., 2006",0.707059,
Meishan D,ch 70,Triassic,Early Triassic,,251.7,,,0.707212,"Korte et al., 2006",0.707212,
Meishan D,ch 45,Triassic,Early Triassic,Changxingian,251.7,,Clarkina zhangi,0.707114,"Korte et al., 2006",0.707114,
Jolfa,J V-6,Triassic,Early Triassic,Dorashamian (Changxingian),251.58,,Clarkina iranica,0.707046,"Korte et al., 2006",0.707046,
Abadeh,Aba 11 b,Permian,Middle Permian,Capitanian,262,,,0.707171,"Korte et al., 2003",0.707171,
Abadeh,Aba 24,Permian,Late Permian ,Dzhulfian,256.5,,Clarkina leveni,0.707049,"Korte et al., 2003",0.707049,
Abadeh,Aba 32,Permian,Late Permian ,Dzhulfian,255.5,,Clarkina orientalis,0.707113,"Korte et al., 2003",0.707113,
Abadeh,Aba 45,Permian,Late Permian ,Dorashamian,253.8,,Clarkina subcarinata,0.707207,"Korte et al., 2003",0.707207,
Pietra dei Saracini,Palaz 6,Triassic,Early Triassic,Brahmanian,250.91,,Hindeodus parvus,0.70743,"Korte et al., 2003",0.70743,
Pietra dei Saracini,Palaz 7,Triassic,Early Triassic,Brahmanian,250.82,,Isarcicella isarcisa,0.707354,"Korte et al., 2003",0.707354,
Pietra dei Saracini,Palaz 8,Triassic,Early Triassic,Brahmanian,250.72,,Isarcicella isarcisa,0.70735,"Korte et al., 2003",0.70735,
Pietra dei Saracini,Palaz 9,Triassic,Early Triassic,Brahmanian,250.65,,Isarcicella isarcisa,0.707485,"Korte et al., 2003",0.707485,
Pietra dei Saracini,Palaz 10,Triassic,Early Triassic,Brahmanian,250.45,,Hindeodus postparvus,0.707419,"Korte et al., 2003",0.707419,
Abadeh,Aba 85,Triassic,Early Triassic,Brahmanian,250.45,,Hindeodus postparvus,0.70727,"Korte et al., 2003",0.70727,
Pietra dei Saracini,Palaz 11,Triassic,Early Triassic,Brahmanian,249.43,,Neospathodus dieneri,0.707463,"Korte et al., 2003",0.707463,
Pietra dei Saracini,Palaz 13,Triassic,Early Triassic,Brahmanian,248.38,,Neospathodus dieneri,0.707478,"Korte et al., 2003",0.707478,
Pietra dei Saracini,Palaz 14,Triassic,Early Triassic,Brahmanian,248.1,,Neospathodus dieneri,0.707679,"Korte et al., 2003",0.707679,
Uomo,Uomo 23,Triassic,Middle Triassic,Olenekian,246.62,,N. waageni - S. meeki,0.707876,"Korte et al., 2003",0.707876,
Pietra dei Saracini,Palaz 44,Triassic,Middle Triassic,Olenekian,242.33,,Triassospathodus sosioensis,0.70816,"Korte et al., 2003",0.70816,
Pietra dei Saracini,Palaz 17,Triassic,Middle Triassic,Olenekian,242.2,,Triassospathodus sosioensis,0.708154,"Korte et al., 2003",0.708154,
Pietra dei Saracini,Palaz 43,Triassic,Middle Triassic,Olenekian,242.09,,Triassospathodus sosioensis,0.708186,"Korte et al., 2003",0.708186,
Pietra dei Saracini,Palaz 18,Triassic,Middle Triassic,Olenekian,242,,Triassospathodus sosioensis,0.708172,"Korte et al., 2003",0.708172,
Pietra dei Saracini,Palaz 19,Triassic,Middle Triassic,Olenekian,241.87,,Triassospathodus sosioensis,0.708178,"Korte et al., 2003",0.708178,
Pietra dei Saracini,Palaz 20,Triassic,Middle Triassic,Olenekian,242.71,,Triassospathodus sosioensis,0.708166,"Korte et al., 2003",0.708166,
Pietra dei Saracini,Palaz 41,Triassic,Middle Triassic,Olenekian,241.66,,Triassospathodus sosioensis,0.708219,"Korte et al., 2003",0.708219,
Pietra dei Saracini,Palaz 40,Triassic,Middle Triassic,Olenekian,241.47,,Chiosella gondolelloides,0.708127,"Korte et al., 2003",0.708127,
Pietra dei Saracini,Palaz 39,Triassic,Middle Triassic,Olenekian,241.34,,Chiosella gondolelloides,0.70814,"Korte et al., 2003",0.70814,
Pietra dei Saracini,Palaz 38,Triassic,Middle Triassic,Olenekian,241.26,,Chiosella gondolelloides,0.708124,"Korte et al., 2003",0.708124,
Xikou section,24,Permian,Early Permian,Asselian,298.22,,,0.708105,"Wang et al., 2021",0.708104952,
Xikou section,43,Permian,Early Permian,Asselian,296.28,,,0.707807,"Wang et al., 2021",0.70780699,
Xikou section,177,Permian,Early Permian,Asselian,296.28,,,0.707897,"Wang et al., 2021",0.707897365,
Xikou section,199,Permian,Early Permian,Asselian,296.28,,,0.707836,"Wang et al., 2021",0.707836032,
Xikou section,199,Permian,Early Permian,Asselian,296.28,,,0.70783,"Wang et al., 2021",0.707830012,
Xikou section,12,Permian,Early Permian,Asselian,295.54,,,0.70782,"Wang et al., 2021",0.707819918,
Xikou section,40,Permian,Early Permian,Asselian,295.54,,,0.707814,"Wang et al., 2021",0.70781399,
Xikou section,56,Permian,Early Permian,Asselian,293.55,,,,"Wang et al., 2021",NA,
Xikou section,175,Permian,Middle Permian,Wordian,265.72,,,0.707123,"Wang et al., 2021",0.707123339,
Xikou section,36,Permian,Middle Permian,Wordian,265.21,,,0.70709,"Wang et al., 2021",0.707089893,
Xikou section,205,Permian,Middle Permian,Wordian,265.11,,,,"Wang et al., 2021",NA,
Xikou section,38,Permian,Middle Permian,Wordian,264.73,,,,"Wang et al., 2021",NA,
Xikou section,34,Permian,Middle Permian,Wordian,264.34,,,0.707045,"Wang et al., 2021",0.707044928,
Xikou section,37,Permian,Middle Permian,Wordian,264.34,,,0.707059,"Wang et al., 2021",0.707058892,
Xikou section,11,Permian,Middle Permian,Capitanian,264.15,,,0.707047,"Wang et al., 2021",0.707046928,
Xikou section,31,Permian,Middle Permian,Capitanian,264.14,,,0.70707,"Wang et al., 2021",0.707069893,
Xikou section,6,Permian,Middle Permian,Capitanian,263.7,,,,"Wang et al., 2021",NA,
Xikou section,45,Permian,Middle Permian,Capitanian,263.46,,,0.706936,"Wang et al., 2021",0.706936028,
Xikou section,9,Permian,Middle Permian,Capitanian,263.45,,,0.707006,"Wang et al., 2021",0.707005945,
Xikou section,10,Permian,Middle Permian,Capitanian,263.45,,,0.706971,"Wang et al., 2021",0.706970889,
Xikou section,44,Permian,Middle Permian,Capitanian,263.45,,,0.706973,"Wang et al., 2021",0.706972889,
Xikou section,212,Permian,Middle Permian,Capitanian,263.06,,,0.70695,"Wang et al., 2021",0.706950009,
Xikou section,227,Permian,Middle Permian,Capitanian,262.97,,,0.706945,"Wang et al., 2021",0.70694536,
Xikou section,227,Permian,Middle Permian,Capitanian,262.97,,,0.7069,"Wang et al., 2021",0.706900358,
Xikou section,26,Permian,Middle Permian,Capitanian,262.94,,,,"Wang et al., 2021",NA,
Xikou section,88,Permian,Middle Permian,Capitanian,262.89,,,0.706912,"Wang et al., 2021",0.706911953,
Xikou section,103,Permian,Middle Permian,Capitanian,262.89,,,0.70709,"Wang et al., 2021",0.707089956,
Xikou section,47,Permian,Middle Permian,Capitanian,262.39,,,0.706863,"Wang et al., 2021",0.706863029,
Xikou section,32,Permian,Middle Permian,Capitanian,262.23,,,0.706862,"Wang et al., 2021",0.706861986,
Xikou section,32,Permian,Middle Permian,Capitanian,262.23,,,0.70685,"Wang et al., 2021",0.706849986,
Xikou section,53,Permian,Middle Permian,Capitanian,262.23,,,0.706856,"Wang et al., 2021",0.706856029,
Xikou section,188,Permian,Middle Permian,Capitanian,262.15,,,0.706927,"Wang et al., 2021",0.706927359,
Xikou section,188,Permian,Middle Permian,Capitanian,262.15,,,0.706914,"Wang et al., 2021",0.706914306,
Xikou section,58,Permian,Middle Permian,Capitanian,262,,,,"Wang et al., 2021",NA,
Xikou section,206,Permian,Middle Permian,Capitanian,262,,,0.706919,"Wang et al., 2021",0.706919014,
Xikou section,135,Permian,Middle Permian,Capitanian,261.36,,,0.706886,"Wang et al., 2021",0.706886009,
Xikou section,101,Permian,Middle Permian,Capitanian,261.33,,,0.706886,"Wang et al., 2021",0.706885953,
Xikou section,61,Permian,Middle Permian,Capitanian,261.04,,,0.706881,"Wang et al., 2021",0.706881028,
Xikou section,178,Permian,Middle Permian,Capitanian,260.82,,,0.70712,"Wang et al., 2021",0.707120359,
Xikou section,136,Permian,Middle Permian,Capitanian,260.81,,,0.706843,"Wang et al., 2021",0.70684301,
Xikou section,226,Permian,Middle Permian,Capitanian,260.77,,,,"Wang et al., 2021",NA,
Xikou section,120,Permian,Middle Permian,Capitanian,260.38,,,0.707056,"Wang et al., 2021",0.707055955,
Xikou section,62,Permian,Middle Permian,Capitanian,260.36,,,0.707003,"Wang et al., 2021",0.707003027,
Xikou section,62,Permian,Middle Permian,Capitanian,260.36,,,0.706921,"Wang et al., 2021",0.706921028,
Xikou section,80,Permian,Middle Permian,Capitanian,260.36,,,0.70688,"Wang et al., 2021",0.706879953,
Xikou section,141,Permian,Middle Permian,Capitanian,260.33,,,0.706862,"Wang et al., 2021",0.706861952,
Xikou section,141,Permian,Middle Permian,Capitanian,260.33,,,0.706885,"Wang et al., 2021",0.706884953,
Xikou section,18,Permian,Middle Permian,Capitanian,259.87,,,,"Wang et al., 2021",NA,
Xikou section,50,Permian,Middle Permian,Capitanian,259.87,,,,"Wang et al., 2021",NA,
Xikou section,52,Permian,Middle Permian,Capitanian,259.87,,,0.707276,"Wang et al., 2021",0.707275958,
Xikou section,183,Permian,Middle Permian,Capitanian,259.87,,,0.707136,"Wang et al., 2021",0.707136333,
Xikou section,214,Permian,Middle Permian,Capitanian,259.87,,,0.706907,"Wang et al., 2021",0.706906974,
Xikou section,214,Permian,Middle Permian,Capitanian,259.87,,,0.706911,"Wang et al., 2021",0.706910968,
Xikou section,48,Permian,Middle Permian,Capitanian,259.82,,,,"Wang et al., 2021",NA,
Xikou section,51,Permian,Middle Permian,Capitanian,259.58,,,,"Wang et al., 2021",NA,
Xikou section,86,Permian,Middle Permian,Capitanian,259.53,,,0.706838,"Wang et al., 2021",0.706837952,
Xikou section,203,Permian,Middle Permian,Capitanian,259.53,,,,"Wang et al., 2021",NA,
Xikou section,180,Permian,Late Permian ,Wuchiapingian,258.89,,,0.706934,"Wang et al., 2021",0.706934333,
Xikou section,179,Permian,Late Permian ,Wuchiapingian,258.77,,,0.707155,"Wang et al., 2021",0.707155347,
Xikou section,182,Permian,Late Permian ,Wuchiapingian,258.74,,,0.707118,"Wang et al., 2021",0.707118332,
Xikou section,70,Permian,Late Permian ,Wuchiapingian,258.63,,,,"Wang et al., 2021",NA,
Xikou section,181,Permian,Late Permian ,Wuchiapingian,258.62,,,0.707209,"Wang et al., 2021",0.707209349,
Xikou section,22,Permian,Late Permian ,Wuchiapingian,258.42,,,0.707091,"Wang et al., 2021",0.707090987,
Xikou section,68,Permian,Late Permian ,Wuchiapingian,258.05,,,,"Wang et al., 2021",NA,
Xikou section,221,Permian,Late Permian ,Wuchiapingian,257.92,,,,"Wang et al., 2021",NA,
Xikou section,25,Permian,Late Permian ,Wuchiapingian,257.87,,,0.706996,"Wang et al., 2021",0.706995945,
Xikou section,29,Permian,Late Permian ,Wuchiapingian,257.44,,,,"Wang et al., 2021",NA,
Xikou section,184,Permian,Late Permian ,Wuchiapingian,257.39,,,0.707037,"Wang et al., 2021",0.70703733,
Xikou section,123,Permian,Late Permian ,Wuchiapingian,257.39,,,,"Wang et al., 2021",NA,
Xikou section,67,Permian,Late Permian ,Wuchiapingian,257.38,,,0.70701,"Wang et al., 2021",0.707009891,
Xikou section,198,Permian,Late Permian ,Wuchiapingian,257.34,,,,"Wang et al., 2021",NA,
Xikou section,105,Permian,Late Permian ,Wuchiapingian,257.32,,,,"Wang et al., 2021",NA,
Xikou section,189,Permian,Late Permian ,Wuchiapingian,256.92,,,0.706959,"Wang et al., 2021",0.706959307,
Xikou section,17,Permian,Late Permian ,Wuchiapingian,256.91,,,,"Wang et al., 2021",NA,
Xikou section,197,Permian,Late Permian ,Wuchiapingian,256.91,,,0.707028,"Wang et al., 2021",0.707027972,
Xikou section,194,Permian,Late Permian ,Wuchiapingian,256.9,,,0.706952,"Wang et al., 2021",0.706951976,
Xikou section,191,Permian,Late Permian ,Wuchiapingian,256.87,,,0.706999,"Wang et al., 2021",0.706999302,
Xikou section,200,Permian,Late Permian ,Wuchiapingian,256.87,,,0.706964,"Wang et al., 2021",0.706964016,
Xikou section,89,Permian,Late Permian ,Wuchiapingian,256.81,,,,"Wang et al., 2021",NA,
Xikou section,192,Permian,Late Permian ,Wuchiapingian,256.81,,,0.707001,"Wang et al., 2021",0.707001328,
Xikou section,192,Permian,Late Permian ,Wuchiapingian,256.81,,,0.707446,"Wang et al., 2021",0.707446337,
Xikou section,92,Permian,Late Permian ,Wuchiapingian,256.63,,,,"Wang et al., 2021",NA,
Xikou section,94,Permian,Late Permian ,Wuchiapingian,256.44,,,,"Wang et al., 2021",NA,
Xikou section,96,Permian,Late Permian ,Wuchiapingian,256.31,,,,"Wang et al., 2021",NA,
Xikou section,224,Permian,Late Permian ,Wuchiapingian,256.3,,,0.70698,"Wang et al., 2021",0.706980348,
Xikou section,216,Permian,Late Permian ,Wuchiapingian,256.24,,,0.706985,"Wang et al., 2021",0.706984997,
Xikou section,222,Permian,Late Permian ,Wuchiapingian,256.24,,,0.707003,"Wang et al., 2021",0.707003355,
Xikou section,190,Permian,Late Permian ,Wuchiapingian,256.21,,,0.707058,"Wang et al., 2021",0.707058311,
Xikou section,223,Permian,Late Permian ,Wuchiapingian,256.18,,,0.706985,"Wang et al., 2021",0.706985354,
Xikou section,215,Permian,Late Permian ,Wuchiapingian,255.86,,,0.707006,"Wang et al., 2021",0.707005978,
Xikou section,99,Permian,Late Permian ,Wuchiapingian,255.86,,,0.7073,"Wang et al., 2021",0.707299959,
Xikou section,102,Permian,Late Permian ,Wuchiapingian,255.81,,,0.706953,"Wang et al., 2021",0.706953009,
Xikou section,230,Permian,Late Permian ,Wuchiapingian,255.79,,,0.706977,"Wang et al., 2021",0.706977308,
Xikou section,230,Permian,Late Permian ,Wuchiapingian,255.79,,,0.706965,"Wang et al., 2021",0.706965327,
Xikou section,8,Permian,Late Permian ,Wuchiapingian,255.67,,,,"Wang et al., 2021",NA,
Xikou section,193,Permian,Late Permian ,Wuchiapingian,255.66,,,0.706995,"Wang et al., 2021",0.706995308,
Xikou section,193,Permian,Late Permian ,Wuchiapingian,255.66,,,0.706979,"Wang et al., 2021",0.706979334,
Xikou section,75,Permian,Late Permian ,Wuchiapingian,255.51,,,0.707023,"Wang et al., 2021",0.707022891,
Xikou section,100,Permian,Late Permian ,Wuchiapingian,255.49,,,,"Wang et al., 2021",NA,
Xikou section,122,Permian,Late Permian ,Wuchiapingian,254.9,,,,"Wang et al., 2021",NA,
Xikou section,176,Permian,Late Permian ,Wuchiapingian,254.88,,,,"Wang et al., 2021",NA,
Xikou section,71,Permian,Late Permian ,Wuchiapingian,254.83,,,,"Wang et al., 2021",NA,
Xikou section,219,Permian,Late Permian ,Wuchiapingian,254.83,,,0.707016,"Wang et al., 2021",0.707015991,
Xikou section,16,Permian,Late Permian ,Wuchiapingian,254.75,,,,"Wang et al., 2021",NA,
Xikou section,104,Permian,Late Permian ,Wuchiapingian,254.37,,,0.707009,"Wang et al., 2021",0.707009009,
Xikou section,163,Permian,Late Permian ,Wuchiapingian,254.35,,,0.707067,"Wang et al., 2021",0.707066978,
Xikou section,163,Permian,Late Permian ,Wuchiapingian,254.35,,,0.707033,"Wang et al., 2021",0.707033005,
Xikou section,13,Permian,Late Permian ,Wuchiapingian,254.35,,,0.706989,"Wang et al., 2021",0.706988986,
Xikou section,106,Permian,Late Permian ,Wuchiapingian,254.35,,,0.707006,"Wang et al., 2021",0.707006009,
Xikou section,220,Permian,Late Permian ,Wuchiapingian,254.35,,,0.707021,"Wang et al., 2021",0.707020998,
Xikou section,162,Permian,Late Permian ,Wuchiapingian,254.31,,,0.707031,"Wang et al., 2021",0.707030977,
Xikou section,161,Permian,Late Permian ,Wuchiapingian,254.18,,,0.707029,"Wang et al., 2021",0.707028977,
Xikou section,158,Permian,Late Permian ,Wuchiapingian,254.11,,,0.707011,"Wang et al., 2021",0.707010977,
Xikou section,112,Permian,Late Permian ,Wuchiapingian,254.11,,,0.707004,"Wang et al., 2021",0.707003954,
Xikou section,164,Permian,Late Permian ,Wuchiapingian,254.06,,,0.707003,"Wang et al., 2021",0.707003005,
Xikou section,144,Permian,Late Permian ,Wuchiapingian,254.06,,,0.707018,"Wang et al., 2021",0.707017955,
Xikou section,165,Permian,Late Permian ,Wuchiapingian,254.02,,,0.707068,"Wang et al., 2021",0.707068004,
Xikou section,165,Permian,Late Permian ,Wuchiapingian,254.02,,,0.707001,"Wang et al., 2021",0.707001005,
Xikou section,157,Permian,Late Permian ,Changhsingian,253.75,,,0.707027,"Wang et al., 2021",0.707026977,
Xikou section,170,Permian,Late Permian ,Changhsingian,253.61,,,0.707038,"Wang et al., 2021",0.707038005,
Xikou section,3,Permian,Late Permian ,Changhsingian,253.6,,,0.707018,"Wang et al., 2021",0.707017891,
Xikou section,3,Permian,Late Permian ,Changhsingian,253.6,,,0.707022,"Wang et al., 2021",0.707021891,
Xikou section,116,Permian,Late Permian ,Changhsingian,253.6,,,0.707022,"Wang et al., 2021",0.707021955,
Xikou section,116,Permian,Late Permian ,Changhsingian,253.6,,,0.707005,"Wang et al., 2021",0.707004954,
Xikou section,110,Permian,Late Permian ,Changhsingian,253.6,,,0.707033,"Wang et al., 2021",0.707032955,
Xikou section,110,Permian,Late Permian ,Changhsingian,253.6,,,0.707114,"Wang et al., 2021",0.707113956,
Xikou section,23,Permian,Late Permian ,Changhsingian,253.56,,,0.706975,"Wang et al., 2021",0.706974986,
Xikou section,1,Permian,Late Permian ,Changhsingian,253.38,,,0.707036,"Wang et al., 2021",0.707035891,
Xikou section,155,Permian,Late Permian ,Changhsingian,253.37,,,,"Wang et al., 2021",NA,
Xikou section,156,Permian,Late Permian ,Changhsingian,253.36,,,,"Wang et al., 2021",NA,
Xikou section,79,Permian,Late Permian ,Changhsingian,253.34,,,,"Wang et al., 2021",NA,
Xikou section,76,Permian,Late Permian ,Changhsingian,252.82,,,,"Wang et al., 2021",NA,
Xikou section,169,Permian,Late Permian ,Changhsingian,252.55,,,,"Wang et al., 2021",NA,
Xikou section,167,Permian,Late Permian ,Changhsingian,252.52,,,0.707069,"Wang et al., 2021",0.707069004,
Xikou section,167,Permian,Late Permian ,Changhsingian,252.52,,,0.707065,"Wang et al., 2021",0.707065004,
Xikou section,160,Permian,Late Permian ,Changhsingian,252.51,,,0.707158,"Wang et al., 2021",0.707157978,
Xikou section,160,Permian,Late Permian ,Changhsingian,252.51,,,0.707085,"Wang et al., 2021",0.707084978,
Xikou section,201,Permian,Late Permian ,Changhsingian,252.46,,,0.707056,"Wang et al., 2021",0.707055986,
Xikou section,83,Permian,Late Permian ,Changhsingian,252.32,,,0.707138,"Wang et al., 2021",0.707137956,
Xikou section,21,Permian,Late Permian ,Changhsingian,252.24,,,,"Wang et al., 2021",NA,
Xikou section,171,Permian,Late Permian ,Changhsingian,252.16,,,0.707141,"Wang et al., 2021",0.707141004,
Xikou section,14,Permian,Late Permian ,Changhsingian,252.15,,,0.707164,"Wang et al., 2021",0.707163987,
Xikou section,20,Permian,Late Permian ,Changhsingian,251.96,,,0.707137,"Wang et al., 2021",0.707136947,
Xikou section,174,Permian,Late Permian ,Changhsingian,251.9,,,0.707167,"Wang et al., 2021",0.707167004,
Shanggang,SG-164,Triassic,Early Triassic,Olenekian,248.42,Carbonate,,0.709224,"Cao et al., 2022",0.709224,
Shanggang,SG-160,Triassic,Early Triassic,Olenekian,248.77,Carbonate,,0.709213,"Cao et al., 2022",0.7092129,
Shanggang,SG-156,Triassic,Early Triassic,Olenekian,249.15,Carbonate,,0.709106,"Cao et al., 2022",0.709106,
Shanggang,SG-153a,Triassic,Early Triassic,Olenekian,249.58,Carbonate,,0.70938,"Cao et al., 2022",0.7093801,
Shanggang,SG-145,Triassic,Early Triassic,Olenekian,250.37,Carbonate,,0.708761,"Cao et al., 2022",0.708761,
Shanggang,SG-138,Triassic,Early Triassic,Olenekian,250.57,Carbonate,,0.709403,"Cao et al., 2022",0.709403,
Shanggang,SG-132,Triassic,Early Triassic,Olenekian,250.65,Carbonate,,0.708289,"Cao et al., 2022",0.708289,
Shanggang,SG-116*,Triassic,Early Triassic,Olenekian,250.95,Carbonate,,0.710453,"Cao et al., 2022",0.7104525,
Shanggang,SG-106,Triassic,Early Triassic,Olenekian,251.2,Carbonate,,0.708893,"Cao et al., 2022",0.708893,
Shanggang,SG-102*,Triassic,Early Triassic,Induan,251.24,Carbonate,,0.709596,"Cao et al., 2022",0.709596,
Shanggang,SG-97,Triassic,Early Triassic,Induan,251.27,Carbonate,,0.708612,"Cao et al., 2022",0.7086123,
Shanggang,SG-92,Triassic,Early Triassic,Induan,251.31,Carbonate,,0.70867,"Cao et al., 2022",0.70867,
Shanggang,SG-81,Triassic,Early Triassic,Induan,251.37,Carbonate,,0.708747,"Cao et al., 2022",0.708747,
Shanggang,SG-69,Triassic,Early Triassic,Induan,251.4,Carbonate,,0.708537,"Cao et al., 2022",0.7085366,
Shanggang,SG-60,Triassic,Early Triassic,Induan,251.43,Carbonate,,0.708688,"Cao et al., 2022",0.7086876,
Shanggang,SG-50,Triassic,Early Triassic,Induan,251.5,Carbonate,,0.708255,"Cao et al., 2022",0.708255,
Shanggang,SG-43a,Triassic,Early Triassic,Induan,251.55,Carbonate,,0.708289,"Cao et al., 2022",0.708289,
Shanggang,SG-25,Triassic,Early Triassic,Induan,251.62,Carbonate,,0.708499,"Cao et al., 2022",0.708499,
Shanggang,SG-17,Triassic,Early Triassic,Induan,251.66,Carbonate,,0.70808,"Cao et al., 2022",0.70808,
Shanggang,SG-16,Triassic,Early Triassic,Induan,251.68,Carbonate,,0.708421,"Cao et al., 2022",0.708421,
Shanggang,SG-14,Triassic,Early Triassic,Induan,251.69,Carbonate,,0.708048,"Cao et al., 2022",0.708048,
Shanggang,SG-13+0.45,Triassic,Early Triassic,Induan,251.72,Carbonate,,0.708214,"Cao et al., 2022",0.708214,
Shanggang,SG-12+5.6,Triassic,Early Triassic,Induan,251.75,Carbonate,,0.707611,"Cao et al., 2022",0.707611,
Shanggang,SG-12+2.5,Triassic,Early Triassic,Induan,251.83,Carbonate,,0.707698,"Cao et al., 2022",0.7076983,
Shanggang,SG-11+1.3,Permian,Late Permian ,Changhsingian,251.91,Carbonate,,0.707882,"Cao et al., 2022",0.707882,
Shanggang,SG-11+0.9,Permian,Late Permian ,Changhsingian,251.92,Carbonate,,0.708056,"Cao et al., 2022",0.7080558,
Shanggang,SG-10-0.1,Permian,Late Permian ,Changhsingian,251.95,Carbonate,,0.707509,"Cao et al., 2022",0.707509,
Shanggang,SG-10+2.1,Permian,Late Permian ,Changhsingian,252.03,Carbonate,,0.707294,"Cao et al., 2022",0.707294,
Shanggang,SG-10+0.1,Permian,Late Permian ,Changhsingian,252.13,Carbonate,,0.707454,"Cao et al., 2022",0.707454,
Shanggang,SG-9+6.4,Permian,Late Permian ,Changhsingian,252.19,Carbonate,,0.707546,"Cao et al., 2022",0.7075463,
Shanggang,SG-9+4.5,Permian,Late Permian ,Changhsingian,252.29,Carbonate,,0.707481,"Cao et al., 2022",0.7074805,
Shanggang,SG-9+3.4,Permian,Late Permian ,Changhsingian,252.34,Carbonate,,0.707425,"Cao et al., 2022",0.7074248,
Shanggang,SG-9+1.6,Permian,Late Permian ,Changhsingian,252.43,Carbonate,,0.707618,"Cao et al., 2022",0.707618,
Shangsi,SS005605-5,Permian,Late Permian ,Capitanian,259.38,Carbonate,,0.707015,"Cao et al., 2022",0.707014819,
Shangsi,SS006300-5,Permian,Late Permian ,Capitanian,259.19,Carbonate,,,"Cao et al., 2022",NA,
Shangsi,SS006900-5,Permian,Late Permian ,Wuchiapingian,259.03,Carbonate,,0.707016,"Cao et al., 2022",0.707015624,
Shangsi,SS0081105-5,Permian,Late Permian ,Wuchiapingian,258.64,Carbonate,,,"Cao et al., 2022",NA,
Shangsi,SS013599-5,Permian,Late Permian ,Wuchiapingian,258.34,Carbonate,,0.707249,"Cao et al., 2022",0.707248742,
Shangsi,SS015156-2,Permian,Late Permian ,Wuchiapingian,257.46,Carbonate,,0.707032,"Cao et al., 2022",0.707031737,
Shangsi,SS015283-2*,Permian,Late Permian ,Wuchiapingian,257.14,Carbonate,,0.707124,"Cao et al., 2022",0.707124103,
Shangsi,SS018585-2,Permian,Late Permian ,Changhsingian,253.35,Carbonate,,0.707076,"Cao et al., 2022",0.707075641,
Shangsi,SS5021016-3,Permian,Late Permian ,Changhsingian,252.89,Carbonate,,0.707185,"Cao et al., 2022",0.707185085,
Shangsi,SS022169-3*,Permian,Late Permian ,Changhsingian,252.32,Carbonate,,0.707199,"Cao et al., 2022",0.707198666,
Shangsi,SS024021-3,Permian,Late Permian ,Changhsingian,252.13,Carbonate,,0.707174,"Cao et al., 2022",0.707173887,
Shangsi,SS030104-2,Triassic,Early Triassic,Induan,251.41,Carbonate,,0.707335,"Cao et al., 2022",0.707334577,
Tieqaio,1241670,Permian,Early Permian,Kungurian,283.5,Carbonate,Ps. Coastatus,0.707511,"Cao et al., 2022",0.7075114,
Tieqiao,1241710,Permian,Early Permian,Kungurian,281.99,Carbonate,,0.707414,"Cao et al., 2022",0.707413947,
