Location,Sample No.,Period,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr ,Reference,"Song et al., 2015",
Guandao ,GuandaoII-12,Triassic,Middle Triassic,Anisian,246.33,,Nicoraella kockeli ,0.70809,"Song et al., 2015",0.70809,
Qingyan,Qingyan-37,Triassic,Middle Triassic,Anisian,246.35,,Nicoraella kockeli ,0.70816,"Song et al., 2015",0.70816,
Guandao ,GuandaoII-11,Triassic,Middle Triassic,Anisian,246.49,,Nicoraella kockeli ,0.70788,"Song et al., 2015",0.70788,
Guandao ,GuandaoII-9,Triassic,Middle Triassic,Anisian,246.82,,Chiosella timorensis ,0.70812,"Song et al., 2015",0.70812,
Guandao ,GuandaoII-8,Triassic,Middle Triassic,Anisian,246.98,,Chiosella timorensis ,0.70827,"Song et al., 2015",0.70827,
Guandao ,GuandaoII-7,Triassic,Middle Triassic,Anisian,247.14,,Chiosella timorensis ,0.70813,"Song et al., 2015",0.70813,
Guandao ,GuandaoI-43,Triassic,Early Triassic,Anisian,247.3,,Chiosella timorensis ,0.70835,"Song et al., 2015",0.70835,
Guandao ,GuandaoII-6,Triassic,Early Triassic,Anisian,247.3,,Chiosella timorensis ,0.70803,"Song et al., 2015",0.70803,
Guandao ,GuandaoI-42 ,Triassic,Early Triassic,Spathian,247.35,,Triassospathodus homeri ,0.70825,"Song et al., 2015",0.70825,
Guandao ,GuandaoII-2 ,Triassic,Early Triassic,Spathian,247.35,,Triassospathodus homeri ,0.70804,"Song et al., 2015",0.70804,
Guandao ,GuandaoII-3 ,Triassic,Early Triassic,Spathian,247.35,,Triassospathodus homeri ,0.70814,"Song et al., 2015",0.70814,
Guandao ,GuandaoII-4 ,Triassic,Early Triassic,Spathian,247.35,,Triassospathodus homeri ,0.70816,"Song et al., 2015",0.70816,
Guandao ,GuandaoI-41 ,Triassic,Early Triassic,Spathian,247.4,,Triassospathodus homeri ,0.70783,"Song et al., 2015",0.70783,
Qingyan,Qingyan-36 ,Triassic,Early Triassic,Spathian,247.4,,Triassospathodus homeri ,0.70821,"Song et al., 2015",0.70821,
Guandao,GuandaoI-40 ,Triassic,Early Triassic,Spathian,247.46,,Triassospathodus homeri ,0.70816,"Song et al., 2015",0.70816,
Guandao,GuandaoI-39 ,Triassic,Early Triassic,Spathian,247.55,,Triassospathodus homeri ,0.70837,"Song et al., 2015",0.70837,
Qingyan,Qingyan-35 ,Triassic,Early Triassic,Spathian,247.58,,Triassospathodus homeri ,0.70824,"Song et al., 2015",0.70824,
Guandao,GuandaoI-37 ,Triassic,Early Triassic,Spathian,247.75,,Triassospathodus homeri ,0.70824,"Song et al., 2015",0.70824,
Qingyan,Qingyan-33 ,Triassic,Early Triassic,Spathian,247.93,,Triassospathodus homeri ,0.70797,"Song et al., 2015",0.70797,
Guandao,GuandaoI-34 ,Triassic,Early Triassic,Spathian,248.1,,Triassospathodus homeri ,0.70843,"Song et al., 2015",0.70843,
Guandao,GuandaoI-33 ,Triassic,Early Triassic,Spathian,248.25,,Triassospathodus homeri ,0.70848,"Song et al., 2015",0.70848,
Guandao,GuandaoI-32 ,Triassic,Early Triassic,Spathian,248.35,,Triassospathodus homeri ,0.70825,"Song et al., 2015",0.70825,
Guandao,GuandaoI-31 ,Triassic,Early Triassic,Spathian,248.4,,Triassospathodus homeri ,0.70827,"Song et al., 2015",0.70827,
Qingyan,Qingyan-30 ,Triassic,Early Triassic,Spathian,248.45,,Triassospathodus homeri ,0.7083,"Song et al., 2015",0.7083,
Guandao,GuandaoI-30 ,Triassic,Early Triassic,Spathian,248.5,,Triassospathodus homeri ,0.70832,"Song et al., 2015",0.70832,
Guandao,GuandaoI-29 ,Triassic,Early Triassic,Spathian,248.6,,Triassospathodus homeri ,0.70818,"Song et al., 2015",0.70818,
Guandao,GuandaoI-28 ,Triassic,Early Triassic,Spathian,248.7,,Triassospathodus homeri ,0.70832,"Song et al., 2015",0.70832,
