Sample,Country,Formation,Section,Elevation,Period,Time,Age,CIA,WIP,CIAcorr.,References
SJS-40/41-1,North China,Sunjiagou,Shuiyuguan,-20.3,Late Permian,Permian,Changhsingian,67,59,74,"Xu et al., 2023"
SJS-37-2,North China,Sunjiagou,Shuiyuguan,-34.3,Late Permian,Permian,Changhsingian,70,41,76,"Xu et al., 2023"
SJS-37-1,North China,Sunjiagou,Shuiyuguan,-37.3,Late Permian,Permian,Changhsingian,70,53,75,"Xu et al., 2023"
SJS-SS-37,North China,Sunjiagou,Shuiyuguan,-42.8,Late Permian,Permian,Changhsingian,68,44,71,"Xu et al., 2023"
SJS-SS-35,North China,Sunjiagou,Shuiyuguan,-46.6,Late Permian,Permian,Changhsingian,75,37,78,"Xu et al., 2023"
SJS-SS-33,North China,Sunjiagou,Shuiyuguan,-49.5,Late Permian,Permian,Changhsingian,80,27,82,"Xu et al., 2023"
XJDN-SFG-14,Xinjiang,Shaofanggou,Dalongkou,543,Early Triassic,Triassic,Spathian,79,16,83,"Xu et al., 2023"
XJDN-SFG-13,Xinjiang,Shaofanggou,Dalongkou,506,Early Triassic,Triassic,Spathian,68,46,74,"Xu et al., 2023"
XJDN-SFG-12,Xinjiang,Shaofanggou,Dalongkou,482,Early Triassic,Triassic,Spathian,73,44,80,"Xu et al., 2023"
XJDN-SFG-11,Xinjiang,Shaofanggou,Dalongkou,437,Early Triassic,Triassic,Spathian,70,44,76,"Xu et al., 2023"
XJDN-SFG-10,Xinjiang,Shaofanggou,Dalongkou,435,Early Triassic,Triassic,Spathian,71,44,78,"Xu et al., 2023"
XJDN-SFG-9,Xinjiang,Shaofanggou,Dalongkou,433,Early Triassic,Triassic,Spathian,70,44,76,"Xu et al., 2023"
XJDN-SFG-8,Xinjiang,Shaofanggou,Dalongkou,412,Early Triassic,Triassic,Spathian,70,43,76,"Xu et al., 2023"
XJDN-SFG-7,Xinjiang,Shaofanggou,Dalongkou,406,Early Triassic,Triassic,Spathian,70,45,78,"Xu et al., 2023"
XJDN-SFG-6,Xinjiang,Shaofanggou,Dalongkou,402,Early Triassic,Triassic,Spathian,74,38,81,"Xu et al., 2023"
XJDN-87,Xinjiang,Shaofanggou,Dalongkou,398,Early Triassic,Triassic,Spathian,64,56,72,"Xu et al., 2023"
XJDN-SFG-5,Xinjiang,Shaofanggou,Dalongkou,387,Early Triassic,Triassic,Spathian,68,51,74,"Xu et al., 2023"
XJDN-SFG-4,Xinjiang,Shaofanggou,Dalongkou,377,Early Triassic,Triassic,Spathian,67,51,76,"Xu et al., 2023"
XJDN-SFG-3,Xinjiang,Shaofanggou,Dalongkou,362,Early Triassic,Triassic,Smithian,68,49,77,"Xu et al., 2023"
XJDN-SFG-2,Xinjiang,Shaofanggou,Dalongkou,346.5,Early Triassic,Triassic,Smithian,61,50,68,"Xu et al., 2023"
XJDN-SFG-1,Xinjiang,Shaofanggou,Dalongkou,342,Early Triassic,Triassic,Smithian,68,52,77,"Xu et al., 2023"
XJDN-79,Xinjiang,Shaofanggou,Dalongkou,340.39,Early Triassic,Triassic,Smithian,67,55,75,"Xu et al., 2023"
XJDN-JCY-1,Xinjiang,Jiucaiyuan,Dalongkou,332.79,Early Triassic,Triassic,Dienarian,69,51,81,"Xu et al., 2023"
XJDN-JCY-2,Xinjiang,Jiucaiyuan,Dalongkou,319,Early Triassic,Triassic,Dienarian,67,51,76,"Xu et al., 2023"
XJDN-JCY-3,Xinjiang,Jiucaiyuan,Dalongkou,305.8,Early Triassic,Triassic,Dienarian,66,44,73,"Xu et al., 2023"
XJDN-JCY-4,Xinjiang,Jiucaiyuan,Dalongkou,300.8,Early Triassic,Triassic,Dienarian,64,46,71,"Xu et al., 2023"
XJDN-JCY-5,Xinjiang,Jiucaiyuan,Dalongkou,296.8,Early Triassic,Triassic,Dienarian,63,49,70,"Xu et al., 2023"
XJDN-JCY-6,Xinjiang,Jiucaiyuan,Dalongkou,287.8,Early Triassic,Triassic,Dienarian,67,45,73,"Xu et al., 2023"
XJDN-JCY-7,Xinjiang,Jiucaiyuan,Dalongkou,275.8,Early Triassic,Triassic,Dienarian,68,47,75,"Xu et al., 2023"
XJDN-JCY-8,Xinjiang,Jiucaiyuan,Dalongkou,265.8,Early Triassic,Triassic,Dienarian,67,48,75,"Xu et al., 2023"
XJDN-69,Xinjiang,Jiucaiyuan,Dalongkou,263.29,Early Triassic,Triassic,Dienarian,61,49,67,"Xu et al., 2023"
XJDN-64,Xinjiang,Jiucaiyuan,Dalongkou,222.99,Early Triassic,Triassic,Griesbachian,62,55,63,"Xu et al., 2023"
XJDN-61,Xinjiang,Jiucaiyuan,Dalongkou,199.19,Early Triassic,Triassic,Griesbachian,58,48,57,"Xu et al., 2023"
XJDN-58,Xinjiang,Jiucaiyuan,Dalongkou,187.5,Early Triassic,Triassic,Griesbachian,57,61,57,"Xu et al., 2023"
DLK-57-2,Xinjiang,Jiucaiyuan,Dalongkou,168.69,Early Triassic,Triassic,Griesbachian,61,41,59,"Xu et al., 2023"
DLK-57-1,Xinjiang,Jiucaiyuan,Dalongkou,154,Early Triassic,Triassic,Griesbachian,59,52,62,"Xu et al., 2023"
XJDN-54,Xinjiang,Jiucaiyuan,Dalongkou,147.29,Early Triassic,Triassic,Griesbachian,60,55,65,"Xu et al., 2023"
XJDN-53+2.5m,Xinjiang,Jiucaiyuan,Dalongkou,140.19,Early Triassic,Triassic,Griesbachian,64,59,68,"Xu et al., 2023"
JCY+1,Xinjiang,Jiucaiyuan,Dalongkou,130,Early Triassic,Triassic,Griesbachian,59,60,66,"Xu et al., 2023"
XJDN-GDK-2,Xinjiang,Guodikeng,Dalongkou,114,Early Triassic,Triassic,Griesbachian,69,52,75,"Xu et al., 2023"
XJDN-GDK-1,Xinjiang,Guodikeng,Dalongkou,97,Early Triassic,Triassic,Griesbachian,64,54,70,"Xu et al., 2023"
DLK-45-2,Xinjiang,Guodikeng,Dalongkou,95.34,Early Triassic,Triassic,Griesbachian,57,64,57,"Xu et al., 2023"
DLK-45-1,Xinjiang,Guodikeng,Dalongkou,94.74,Early Triassic,Triassic,Griesbachian,61,51,62,"Xu et al., 2023"
DLK-44-2,Xinjiang,Guodikeng,Dalongkou,93.52,Early Triassic,Triassic,Griesbachian,63,48,63,"Xu et al., 2023"
DLK-44-1,Xinjiang,Guodikeng,Dalongkou,92.82,Early Triassic,Triassic,Griesbachian,56,66,55,"Xu et al., 2023"
DLK-43-1,Xinjiang,Guodikeng,Dalongkou,89.74,Early Triassic,Triassic,Griesbachian,62,63,62,"Xu et al., 2023"
DLK-39-1,Xinjiang,Guodikeng,Dalongkou,76.76,Early Triassic,Triassic,Griesbachian,60,54,61,"Xu et al., 2023"
DLK-37-1,Xinjiang,Guodikeng,Dalongkou,71.17,Early Triassic,Triassic,Griesbachian,58,55,61,"Xu et al., 2023"
DLK-33-5,Xinjiang,Guodikeng,Dalongkou,68.02,Early Triassic,Triassic,Griesbachian,63,51,70,"Xu et al., 2023"
DLK-33-4,Xinjiang,Guodikeng,Dalongkou,65.97,Early Triassic,Triassic,Griesbachian,64,54,69,"Xu et al., 2023"
DLK-33-3,Xinjiang,Guodikeng,Dalongkou,62.87,Early Triassic,Triassic,Griesbachian,67,49,71,"Xu et al., 2023"
DLK-33-2,Xinjiang,Guodikeng,Dalongkou,60.67,Early Triassic,Triassic,Griesbachian,71,46,75,"Xu et al., 2023"
DLK-33-1,Xinjiang,Guodikeng,Dalongkou,54.82,Early Triassic,Triassic,Griesbachian,63,52,66,"Xu et al., 2023"
DLK-32-3,Xinjiang,Guodikeng,Dalongkou,52.82,Early Triassic,Triassic,Griesbachian,61,54,66,"Xu et al., 2023"
DLK-32-2,Xinjiang,Guodikeng,Dalongkou,51.32,Early Triassic,Triassic,Griesbachian,64,50,70,"Xu et al., 2023"
DLK-32-1,Xinjiang,Guodikeng,Dalongkou,50.02,Early Triassic,Triassic,Griesbachian,57,54,58,"Xu et al., 2023"
DLK-30-1,Xinjiang,Guodikeng,Dalongkou,45.55,Early Triassic,Triassic,Griesbachian,57,56,59,"Xu et al., 2023"
DLK-29-2,Xinjiang,Guodikeng,Dalongkou,44.14,Early Triassic,Triassic,Griesbachian,62,54,64,"Xu et al., 2023"
DLK-29-1,Xinjiang,Guodikeng,Dalongkou,42.7,Early Triassic,Triassic,Griesbachian,59,54,61,"Xu et al., 2023"
DLK-28-4,Xinjiang,Guodikeng,Dalongkou,40.94,Early Triassic,Triassic,Griesbachian,62,56,66,"Xu et al., 2023"
DLK-28-3,Xinjiang,Guodikeng,Dalongkou,37.64,Early Triassic,Triassic,Griesbachian,67,52,73,"Xu et al., 2023"
DLK-28-2,Xinjiang,Guodikeng,Dalongkou,34.34,Early Triassic,Triassic,Griesbachian,64,51,70,"Xu et al., 2023"
DLK-28-1,Xinjiang,Guodikeng,Dalongkou,32.84,Early Triassic,Triassic,Griesbachian,65,51,67,"Xu et al., 2023"
DLK-27-2,Xinjiang,Guodikeng,Dalongkou,31.74,Early Triassic,Triassic,Griesbachian,62,52,66,"Xu et al., 2023"
DLK-27-1,Xinjiang,Guodikeng,Dalongkou,30.34,Early Triassic,Triassic,Griesbachian,60,54,61,"Xu et al., 2023"
DLK-26-4,Xinjiang,Guodikeng,Dalongkou,29.24,Early Triassic,Triassic,Griesbachian,68,49,75,"Xu et al., 2023"
DLK-26-3,Xinjiang,Guodikeng,Dalongkou,28.14,Early Triassic,Triassic,Griesbachian,65,50,69,"Xu et al., 2023"
DLK-26-2,Xinjiang,Guodikeng,Dalongkou,26.74,Early Triassic,Triassic,Griesbachian,60,55,62,"Xu et al., 2023"
DLK-26-1,Xinjiang,Guodikeng,Dalongkou,25.14,Early Triassic,Triassic,Griesbachian,70,46,78,"Xu et al., 2023"
DLK-25-5,Xinjiang,Guodikeng,Dalongkou,23.38,Early Triassic,Triassic,Griesbachian,65,53,69,"Xu et al., 2023"
DLK-25-4,Xinjiang,Guodikeng,Dalongkou,22.08,Early Triassic,Triassic,Griesbachian,67,48,72,"Xu et al., 2023"
DLK-25-3b,Xinjiang,Guodikeng,Dalongkou,20.88,Early Triassic,Triassic,Griesbachian,69,47,76,"Xu et al., 2023"
DLK-25-3,Xinjiang,Guodikeng,Dalongkou,19.78,Early Triassic,Triassic,Griesbachian,65,48,69,"Xu et al., 2023"
DLK-25-2,Xinjiang,Guodikeng,Dalongkou,18.88,Early Triassic,Triassic,Griesbachian,58,58,59,"Xu et al., 2023"
DLK-25-1,Xinjiang,Guodikeng,Dalongkou,18.38,Early Triassic,Triassic,Griesbachian,57,57,58,"Xu et al., 2023"
DLK-24-9,Xinjiang,Guodikeng,Dalongkou,18.14,Early Triassic,Triassic,Griesbachian,70,44,75,"Xu et al., 2023"
DLK-24-8,Xinjiang,Guodikeng,Dalongkou,17.54,Late Permian,Permian,Changhsingian,68,47,73,"Xu et al., 2023"
DLK-24-7,Xinjiang,Guodikeng,Dalongkou,16.84,Late Permian,Permian,Changhsingian,68,47,73,"Xu et al., 2023"
DLK-24-6,Xinjiang,Guodikeng,Dalongkou,16.54,Late Permian,Permian,Changhsingian,70,43,76,"Xu et al., 2023"
DLK-24-5,Xinjiang,Guodikeng,Dalongkou,15.49,Late Permian,Permian,Changhsingian,66,48,70,"Xu et al., 2023"
DLK-24-4,Xinjiang,Guodikeng,Dalongkou,15.07,Late Permian,Permian,Changhsingian,67,45,72,"Xu et al., 2023"
DLK-24-3,Xinjiang,Guodikeng,Dalongkou,14.44,Late Permian,Permian,Changhsingian,69,42,75,"Xu et al., 2023"
DLK-24-2,Xinjiang,Guodikeng,Dalongkou,13.69,Late Permian,Permian,Changhsingian,65,47,68,"Xu et al., 2023"
DLK-24-1,Xinjiang,Guodikeng,Dalongkou,12.7,Late Permian,Permian,Changhsingian,68,48,71,"Xu et al., 2023"
DLK-23-3,Xinjiang,Guodikeng,Dalongkou,11.71,Late Permian,Permian,Changhsingian,68,46,72,"Xu et al., 2023"
DLK-23-2,Xinjiang,Guodikeng,Dalongkou,10.51,Late Permian,Permian,Changhsingian,71,45,77,"Xu et al., 2023"
