Sample,Country,Location,Section,Elevation,Period,Age,Ca,Reference,"Payne etal., 2010","Silva-Tamayo et al., 2018",Dajiang section,Saiq Plateau section,Ta_kent section,Tesero Road section
PDJ-107,South China,GBG,Dajiang section,93.8,Early Triassic,Griesbachian,0.2,"Silva-Tamayo et al., 2018",,0.2,93.8,,,
PDJ-115,South China,GBG,Dajiang section,100.4,Early Triassic,Griesbachian,0.49,"Silva-Tamayo et al., 2018",,0.49,100.4,,,
PDJ-118,South China,GBG,Dajiang section,103,Early Triassic,Griesbachian,0.58,"Silva-Tamayo et al., 2018",,0.58,103,,,
PDJ-127,South China,GBG,Dajiang section,118.2,Early Triassic,Dinerian,0.88,"Silva-Tamayo et al., 2018",,0.88,118.2,,,
PDJ-132,South China,GBG,Dajiang section,131,Early Triassic,Dinerian,0.77,"Silva-Tamayo et al., 2018",,0.77,131,,,
PDJ-140,South China,GBG,Dajiang section,156.2,Early Triassic,Dinerian,0.61,"Silva-Tamayo et al., 2018",,0.61,156.2,,,
PDJ-148,South China,GBG,Dajiang section,176,Early Triassic,Dinerian,1.06,"Silva-Tamayo et al., 2018",,1.06,176,,,
PDJ-162,South China,GBG,Dajiang section,207.5,Early Triassic,Dinerian,0.82,"Silva-Tamayo et al., 2018",,0.82,207.5,,,
SQD-9,Oman,Saiq,Saiq Plateau section,198,Early Triassic,Dinerian,0.9,"Silva-Tamayo et al., 2018",,0.9,,198,,
SQD-8,Oman,Saiq,Saiq Plateau section,190,Early Triassic,Griesbachian,0.95,"Silva-Tamayo et al., 2018",,0.95,,190,,
SQD-7,Oman,Saiq,Saiq Plateau section,182,Early Triassic,Griesbachian,1.24,"Silva-Tamayo et al., 2018",,1.24,,182,,
SQD-6,Oman,Saiq,Saiq Plateau section,174,Early Triassic,Griesbachian,0.95,"Silva-Tamayo et al., 2018",,0.95,,174,,
SQD 5,Oman,Saiq,Saiq Plateau section,166,Early Triassic,Griesbachian,0.65,"Silva-Tamayo et al., 2018",,0.65,,166,,
SQD 4,Oman,Saiq,Saiq Plateau section,158,Early Triassic,Griesbachian,,"Silva-Tamayo et al., 2018",,0,,158,,
SQD-3,Oman,Saiq,Saiq Plateau section,150,Early Triassic,Griesbachian,0.8,"Silva-Tamayo et al., 2018",,0.8,,150,,
